Stories	कहानियाँ
A stonecutter struck a great boulder once, twice, fifty times, and not a crack appeared. A passer-by shook his head. "You're wasting your strength; that stone will never break." The stonecutter said nothing and kept swinging. On the hundredth blow the boulder split clean in two. "It wasn't the last blow that broke it," he said, wiping his brow, "but all the ones before that no one thought were working." The watcher had seen only the failure. The stonecutter had trusted the unseen cracks growing quietly with every strike.	एक पत्थर तोड़ने वाले ने एक बड़ी चट्टान पर एक बार वार किया, दो बार, पचास बार — और एक दरार तक नहीं आई। पास से गुज़रते एक आदमी ने सिर हिलाया। "अपनी ताक़त बरबाद कर रहे हो; यह पत्थर कभी नहीं टूटेगा।" पत्थर तोड़ने वाले ने कुछ नहीं कहा और वार करता रहा। सौवीं चोट पर चट्टान बीच से साफ़ दो टुकड़े हो गई। "इसे आख़िरी चोट ने नहीं तोड़ा," उसने माथे का पसीना पोंछते हुए कहा, "बल्कि उन सारी चोटों ने, जिनके बारे में किसी को लगा ही नहीं कि वे काम कर रही हैं।" देखने वाले को सिर्फ़ नाकामी दिखी थी। पत्थर तोड़ने वाले ने उन दरारों पर भरोसा किया था, जो हर वार के साथ चुपचाप भीतर बढ़ रही थीं।
Most of the work that matters won't show, little one. Keep swinging. The hundredth blow only lands because of the ninety-nine before it.	जो काम असल में मायने रखता है, उसका ज़्यादातर हिस्सा दिखता नहीं, नन्ही जान। वार करते रहना। सौवीं चोट भी इसीलिए बैठती है, क्योंकि उससे पहले निन्यानवे पड़ चुकी होती हैं।
The Sparrow and the Storm	गौरैया और तूफ़ान
Two sparrows built nests in the same tall tree. One spent the sunny days singing and feasting, while the other quietly carried twig after twig, weaving her nest deep and strong. "You work too hard," laughed the first. "The sun will shine forever!" But one evening the sky turned grey, and a great wind came roaring through the branches. The careless sparrow's nest scattered like dust - while the other sat dry and safe inside her sturdy home, watching the rain. When morning came, she shared her shelter without a word, and the first sparrow never laughed at hard work again.	दो गौरैयों ने एक ही ऊँचे पेड़ पर घोंसले बनाए। एक धूप वाले दिनों में गाती और दावत उड़ाती रही, और दूसरी चुपचाप एक-एक तिनका ढोकर अपना घोंसला गहरा और मज़बूत बुनती रही। "तुम बहुत मेहनत करती हो," पहली हँसी। "धूप तो हमेशा रहेगी!" पर एक शाम आसमान भूरा पड़ गया, और एक तेज़ हवा टहनियों में गरजती हुई आई। लापरवाह गौरैया का घोंसला धूल की तरह बिखर गया — जबकि दूसरी अपने मज़बूत घर के भीतर सूखी और महफ़ूज़ बैठी बारिश देखती रही। सुबह हुई तो उसने बिना कुछ कहे अपनी छत बाँट दी, और पहली गौरैया ने मेहनत का मज़ाक़ फिर कभी नहीं उड़ाया।
The work we do in calm weather is what keeps us safe in the storm.	जो काम हम शांत मौसम में करते हैं, वही तूफ़ान में हमें बचाता है।
I'm building our nest now, before you arrive - so whatever weather comes, you'll always have somewhere safe.	मैं अभी से अपना घोंसला बुन रहा हूँ, तुम्हारे आने से पहले — ताकि मौसम कैसा भी आए, तुम्हारे पास हमेशा एक महफ़ूज़ जगह हो।
The Two Streams	दो धाराएँ
Two little streams trickled down opposite sides of a hill, each certain it would reach the great river first. They raced and rushed and wore themselves thin against the rocks, until both nearly dried up under the summer sun. Then a wise old willow whispered, "Why race? Join, and you'll have water enough to reach the sea." Swallowing their pride, the streams wound toward each other and merged into one. Together they ran deep and strong, past the dust that had nearly stopped them, all the way to the shining river - arriving, in the end, at the very same moment.	दो नन्ही धाराएँ एक पहाड़ी के दो अलग-अलग ढलानों से उतरीं, और दोनों को पक्का यक़ीन था कि बड़ी नदी तक पहले वही पहुँचेगी। वे दौड़ीं, भागीं, और चट्टानों से टकराकर ख़ुद को पतला करती चली गईं, यहाँ तक कि गरमी की धूप में दोनों लगभग सूख गईं। तभी एक समझदार बूढ़े पेड़ ने धीरे से कहा, "दौड़ क्यों? मिल जाओ, तो समंदर तक पहुँचने लायक़ पानी हो जाएगा।" अपना अहंकार निगलकर दोनों धाराएँ एक-दूसरे की तरफ़ मुड़ीं और एक हो गईं। साथ मिलकर वे गहरी और मज़बूत बहीं, उस धूल के पार जिसने उन्हें लगभग रोक दिया था, सीधे चमकती नदी तक — और आख़िर में पहुँचीं भी ठीक एक ही पल में।
We go farther together than we ever could apart.	साथ चलकर हम उससे कहीं दूर पहुँचते हैं, जितना अकेले कभी पहुँच पाते।
You don't have to race anyone, little one. Find the ones worth joining, and go far together.	तुम्हें किसी से दौड़ लगाने की ज़रूरत नहीं, नन्ही जान। ऐसे लोग ढूँढो जिनके साथ जुड़ना बनता हो, और साथ मिलकर दूर तक जाओ।
The Peacock and the Crow	मोर और कौआ
A peacock spread his dazzling tail and mocked a plain black crow. "Look at me - a living jewel! And you? Drab as a shadow." The crow simply ruffled her wings and flew, high and free, over fields and rivers and far blue hills. The peacock tried to follow and could not lift his heavy, glittering tail more than a hop off the ground. "Your beauty is lovely to look at," the crow called down, "but mine carries me to the sky." The peacock, for once, had nothing to say.	एक मोर ने अपनी चमकदार पूँछ फैलाई और एक सादे काले कौए का मज़ाक़ उड़ाया। "मुझे देखो — चलता-फिरता गहना! और तुम? परछाईं जैसे फीके।" कौए ने बस अपने पंख झाड़े और उड़ चला — ऊँचा और आज़ाद — खेतों, नदियों और दूर की नीली पहाड़ियों के ऊपर से। मोर ने पीछे जाने की कोशिश की, पर अपनी भारी, चमकीली पूँछ लेकर ज़मीन से एक फुदक से ज़्यादा उठ ही नहीं पाया। "तुम्हारी ख़ूबसूरती देखने में बहुत अच्छी है," कौए ने ऊपर से पुकारा, "पर मेरी ख़ूबसूरती मुझे आसमान तक ले जाती है।" मोर के पास, पहली बार, कहने को कुछ नहीं था।
What shines on the outside is not the same as what carries you forward.	जो बाहर से चमकता है, ज़रूरी नहीं कि वही आगे भी ले जाए।
Don't be fooled by what only looks impressive, little one - or worried that you don't. Ask instead what gives you wings.	जो सिर्फ़ देखने में शानदार लगे, उससे धोखा मत खाना, नन्ही जान — और अपनी सादगी से घबराना भी मत। पूछना यह कि उड़ान किससे मिलती है।
The Ant Who Shared a Crumb	वो चींटी जिसने टुकड़ा बाँटा
On a cold morning a tiny ant found a single crumb and, though hungry herself, broke it in half to share with a shivering beetle by the path. "Foolish," said a passing grasshopper. "Keep it all!" Weeks later a flood swept through the meadow and the little ant was carried off on a leaf, spinning helplessly toward the rapids. From the bank, the beetle she had fed flung out a blade of grass and pulled her to safety. "A kindness," the beetle said, "is a seed. You never know when it will grow back to shelter you."	एक ठंडी सुबह एक नन्ही चींटी को रोटी का एक टुकड़ा मिला, और ख़ुद भूखी होने के बावजूद उसने वह टुकड़ा आधा तोड़कर रास्ते के किनारे ठिठुरते एक भृंग को दे दिया। "बेवक़ूफ़ी है," पास से गुज़रते एक टिड्डे ने कहा। "पूरा अपने पास रखो!" कुछ हफ़्तों बाद मैदान में बाढ़ आई और वह नन्ही चींटी एक पत्ते पर बहती चली गई, तेज़ धारा की तरफ़ बेबस घूमती हुई। किनारे से, उसी भृंग ने — जिसे उसने खिलाया था — घास का एक तिनका फेंककर उसे खींच लिया। "नरमी," भृंग ने कहा, "एक बीज होती है। पता नहीं कब वह उगकर तुम्हें छाँव दे दे।"
Kindness given quietly has a way of coming home.	चुपचाप की गई नरमी लौटकर घर आ ही जाती है।
Give what you can, little one, even when it's small. Kindness is a seed - and it grows in directions you'll never expect.	जो दे सको, दे देना, नन्ही जान, चाहे थोड़ा ही हो। नरमी एक बीज है — और वह ऐसी दिशाओं में उगती है, जिनका अंदाज़ा भी नहीं होता।
The Tortoise Who Truly Listened	वो कछुआ जिसने सचमुच सुना
The animals held a council to solve a great problem, and everyone spoke at once - the loud monkey, the proud stag, the clever fox - each in love with his own voice. Only the old tortoise stayed silent, listening. When at last she spoke, she gently wove together the one good idea hidden in each loud speech, and the council marvelled at her wisdom. "How did you grow so wise?" they asked. "I didn't," said the tortoise. "I only listened while you were all busy talking."	जानवरों ने एक बड़ी मुश्किल सुलझाने के लिए सभा बुलाई, और सब एक साथ बोलने लगे — शोर मचाता बंदर, घमंडी बारहसिंगा, चालाक लोमड़ी — हर कोई अपनी ही आवाज़ पर मोहित। बस बूढ़ा कछुआ चुप बैठा सुनता रहा। आख़िर में जब उसने कहा, तो हर शोर भरे भाषण में छिपे एक-एक काम के विचार को उसने नरमी से आपस में बुन दिया, और सभा उसकी समझ पर हैरान रह गई। "तुममें इतनी समझ आई कैसे?" उन्होंने पूछा। "आई नहीं," कछुए ने कहा। "जब तुम सब बोलने में लगे थे, मैं बस सुन रहा था।"
We learn far more from listening than from waiting to speak.	बोलने की बारी के इंतज़ार से कहीं ज़्यादा हम सुनने से सीखते हैं।
You were born with two ears and one mouth, little one. I'll try to remember that too - especially when I'm listening to you.	तुम्हें दो कान मिले हैं और एक मुँह, नन्ही जान। यह बात मैं भी याद रखने की कोशिश करूँगा — ख़ासकर तब, जब मैं तुम्हें सुन रहा हूँ।
The Firefly Who Wanted to Be the Sun	वो जुगनू जो सूरज बनना चाहता था
A little firefly grew ashamed of her tiny glow. "What use is my speck of light next to the great golden sun?" she sighed, and hid herself away in the day, refusing to shine. But that night the woods were caught in deep darkness, and a lost fawn could not find its mother. No sun could help in the dark - but one small firefly, coaxed out at last, lit a soft path through the trees, and the fawn followed her glow safely home. "The sun has its hour," she learned, "and I have mine."	एक नन्हे जुगनू को अपनी हल्की-सी चमक पर शर्म आने लगी। "उस बड़े सुनहरे सूरज के आगे मेरी इस ज़रा-सी रोशनी का क्या काम?" उसने आह भरी, और दिन में कहीं छिप गया, चमकने से इनकार करके। पर उस रात जंगल गहरे अँधेरे में डूब गया, और एक खोया हुआ हिरन का बच्चा अपनी माँ तक नहीं पहुँच पा रहा था। अँधेरे में सूरज किसी काम नहीं आ सकता था — पर एक नन्हा जुगनू, जिसे बड़ी मुश्किल से बाहर बुलाया गया, पेड़ों के बीच एक नरम रास्ता जगा गया, और हिरन का बच्चा उसी चमक के पीछे सही-सलामत घर पहुँच गया। "सूरज का अपना वक़्त है," उसने सीखा, "और मेरा अपना।"
Your light is not too small - it is needed where the great lights cannot reach.	तुम्हारी रोशनी छोटी नहीं है — उसकी ज़रूरत वहाँ है, जहाँ बड़ी रोशनियाँ पहुँच ही नहीं पातीं।
Never wish your light away because someone else's seems bigger. The dark places of this world are waiting for exactly your glow.	किसी और की रोशनी बड़ी दिखे, तो अपनी रोशनी को कभी मत कोसना। इस दुनिया की अँधेरी जगहें ठीक तुम्हारी ही चमक का इंतज़ार कर रही हैं।
The Bamboo and the Oak	बाँस और बलूत
A proud oak laughed at the slender bamboo bending in the breeze. "Have some backbone! I never bow to any wind." That night a tremendous storm tore down from the hills. The bamboo bent low, low, almost to the ground, letting the gale pass over it. The mighty oak stood stiff and proud against the wind - until, with a great groan, it cracked and crashed to the earth. In the calm morning the bamboo rose again, unbroken and green. "There is strength in standing firm," it whispered, "and a deeper strength in knowing when to bend."	एक घमंडी बलूत हवा में झूलते पतले बाँस पर हँसा। "थोड़ी रीढ़ रखो! मैं तो किसी हवा के आगे नहीं झुकता।" उस रात पहाड़ियों से एक ज़बरदस्त तूफ़ान उतरा। बाँस झुकता गया — नीचे, और नीचे, लगभग ज़मीन तक — और आँधी को अपने ऊपर से गुज़र जाने दिया। ताक़तवर बलूत हवा के सामने अकड़कर, तनकर खड़ा रहा, जब तक एक ज़ोरदार कराह के साथ वह चटका और ज़मीन पर आ गिरा। शांत सुबह में बाँस फिर से उठ खड़ा हुआ, बिना टूटे, हरा-भरा। "डटे रहने में ताक़त होती है," उसने धीरे से कहा, "और झुकना कब है, यह जानने में उससे भी गहरी ताक़त।"
What bends in the storm often outlasts what refuses to.	जो तूफ़ान में झुक जाता है, वह अक्सर उससे ज़्यादा टिकता है जो झुकने से इनकार कर दे।
Be strong, little one - but not so stiff you break. Sometimes the bravest thing is to bend, then rise again.	मज़बूत रहना, नन्ही जान — पर इतना अकड़ना नहीं कि टूट जाओ। कभी-कभी सबसे बहादुरी की बात यही होती है: झुक जाना, और फिर उठ खड़े होना।
The Woodcutter and the River	लकड़हारा और नदी
A poor woodcutter dropped his only axe into a deep river and wept. The river spirit rose and offered first a golden axe, then a silver one. "Neither is mine," the woodcutter said honestly, though he was poor enough to long for them. "Mine was only worn old iron." Pleased by his honesty, the spirit returned his plain iron axe - and the gold and silver besides, as a gift. A greedy neighbour heard of it, threw in his own axe on purpose, and claimed the gold one as his. The river gave him nothing back at all - not even the axe he came with.	एक ग़रीब लकड़हारे की इकलौती कुल्हाड़ी गहरी नदी में गिर गई और वह रो पड़ा। नदी की देवी प्रकट हुईं और पहले सोने की कुल्हाड़ी दिखाई, फिर चाँदी की। "दोनों में से कोई मेरी नहीं है," लकड़हारे ने सच बोल दिया, हालाँकि वह इतना ग़रीब था कि उन्हें पाने की चाह होना लाज़मी था। "मेरी तो बस घिसे हुए लोहे की थी।" उसकी ईमानदारी से ख़ुश होकर देवी ने उसकी सादी लोहे की कुल्हाड़ी लौटा दी — और तोहफ़े में सोने और चाँदी वाली भी। एक लालची पड़ोसी ने यह सुना, जान-बूझकर अपनी कुल्हाड़ी नदी में फेंकी, और सोने वाली को अपना बता दिया। नदी ने उसे कुछ भी नहीं लौटाया — वो कुल्हाड़ी तक नहीं, जो वह ख़ुद लेकर आया था।
Honesty may cost you something today, but it pays in ways a lie never can.	ईमानदारी आज कुछ ले सकती है, पर वह ऐसे लौटाती है जैसे झूठ कभी नहीं लौटा सकता।
Tell the truth, little one, even when a lie looks like gold. What honesty earns, no one can ever take from you.	सच बोलना, नन्ही जान, तब भी जब झूठ सोने जैसा चमके। ईमानदारी से जो मिलता है, उसे कोई तुमसे छीन नहीं सकता।
The Elephant and the Thorn-Bird	हाथी और काँटा-चिड़िया
A great elephant got a sharp thorn lodged deep in his foot and could barely limp. The big animals all backed away - too busy, too important to help. But a tiny thorn-bird hopped up, worked the thorn loose with her small sharp beak, and freed him. "How could one so small help one so great?" the others scoffed. Seasons later, hunters set a net for the elephant in the night, and it was the little thorn-bird's shrill, frantic cry that woke him in time to escape. "No friend is too small," the elephant said, "to be the one who saves you."	एक बड़े हाथी के पैर में गहरा काँटा धँस गया और वह मुश्किल से लँगड़ाकर चल पा रहा था। बड़े जानवर सब पीछे हट गए — बहुत व्यस्त, बहुत बड़े, मदद के लिए फ़ुरसत कहाँ। पर एक नन्ही काँटा-चिड़िया फुदकती हुई आई, अपनी छोटी तेज़ चोंच से काँटा ढीला किया, और उसे आज़ाद कर दिया। "इतना छोटा जीव इतने बड़े जीव की मदद कैसे कर सकता है?" बाक़ी लोगों ने ताना मारा। कई मौसम बाद, शिकारियों ने रात में हाथी के लिए जाल बिछाया, और उसी नन्ही काँटा-चिड़िया की तीखी, बेचैन चीख़ ने उसे वक़्त रहते जगा दिया कि वह बच निकले। "कोई दोस्त इतना छोटा नहीं होता," हाथी ने कहा, "कि वह तुम्हें बचाने वाला न बन सके।"
Never measure a friend, or a kindness, by its size.	किसी दोस्त को, या किसी नरमी को, उसके आकार से मत नापना।
Be kind to everyone, little one, big or small. The smallest hand is often the one that lifts you when you fall.	सबके साथ नरमी से पेश आना, नन्ही जान — छोटे हों या बड़े। गिरने पर अक्सर सबसे छोटा हाथ ही उठाता है।
The Squirrel and the Feast	गिलहरी और दावत
All autumn a squirrel gathered acorns while a careless mouse feasted and played. "Why work when the woods are full?" laughed the mouse. "Eat! Enjoy!" But winter came hard and white, and the woods went bare and silent. The shivering mouse crept to the squirrel's door, and the squirrel - who had worked and saved - opened it, and shared. "I won't scold you," she said, setting out acorns. "But come spring, gather a little while you feast. The kindest thing you can do for your future self is to think of him today."	पूरी पतझड़ एक गिलहरी बलूत के फल जमा करती रही, जबकि एक लापरवाह चूहा खाता-खेलता रहा। "जब जंगल भरा हुआ है तो मेहनत क्यों?" चूहा हँसा। "खाओ! मज़े करो!" पर जाड़ा कड़ा और सफ़ेद होकर आया, और जंगल ख़ाली और चुप पड़ गया। ठिठुरता चूहा गिलहरी के दरवाज़े तक पहुँचा, और गिलहरी ने — जिसने मेहनत की थी और बचाया था — दरवाज़ा खोला, और बाँट दिया। "मैं तुम्हें डाँटूँगी नहीं," उसने फल निकालते हुए कहा। "पर बसंत आए, तो दावत के साथ-साथ थोड़ा जमा भी करना। अपने आने वाले कल के लिए तुम जो सबसे बड़ी नरमी कर सकते हो, वो यही है कि आज उसका ख़याल रखो।"
A little saved in good times is a kindness to the self who meets hard ones.	अच्छे दिनों में थोड़ा बचा लेना, उस अपने के लिए नरमी है जिसे आगे मुश्किल दिन देखने हैं।
Enjoy the good days fully, little one - but tuck a little away too. Your future self is someone worth looking after.	अच्छे दिनों का पूरा मज़ा लेना, नन्ही जान — पर थोड़ा सँभालकर भी रखना। तुम्हारा आने वाला कल भी किसी अपने का है, जिसका ख़याल रखना बनता है।
The Clever Mouse and the Bell	चालाक चूहा और घंटी
The mice lived in terror of the cat, until a young one had a bold idea: "Let's tie a bell around the cat's neck, so we'll always hear it coming!" The mice cheered - until an old grey mouse asked quietly, "A fine plan. Now, which of us will hang the bell?" The cheering stopped. Not one mouse stepped forward. "A clever idea," said the old mouse, "is only worth as much as the courage to carry it out. Do not mistake the wish for the deed."	चूहे बिल्ली के डर में जीते थे, तब तक कि एक जवान चूहे को एक बहादुर तरकीब सूझी: "क्यों न बिल्ली के गले में एक घंटी बाँध दें, ताकि उसके आने की आवाज़ हमेशा सुनाई दे!" चूहों ने ख़ुशी में शोर मचाया — जब तक एक बूढ़े सलेटी चूहे ने धीरे से नहीं पूछा, "बढ़िया तरकीब है। अब बताओ, घंटी बाँधने कौन जाएगा?" शोर थम गया। एक भी चूहा आगे नहीं बढ़ा। "चालाक तरकीब की क़ीमत," बूढ़े चूहे ने कहा, "उतनी ही होती है जितनी उसे कर दिखाने की हिम्मत। इरादे को काम समझने की भूल मत करना।"
An idea is only as good as the courage that puts it to work.	किसी तरकीब की क़ीमत उतनी ही है, जितनी उसे कर दिखाने की हिम्मत।
Dream up bold plans, little one - then be the one brave enough to act on them. Wishing and doing are different things.	बड़ी-बड़ी तरकीबें सोचना, नन्ही जान — और फिर उन्हें कर दिखाने की हिम्मत भी ख़ुद करना। चाहना और करना, दो अलग बातें हैं।
The Two Goats on the Narrow Log	पतली लकड़ी पर दो बकरे
Two stubborn goats met in the middle of a narrow log crossing a deep ravine, each facing the other. "Move aside! I was here first!" bellowed one. "Never! Move yourself!" snapped the other. They locked horns, pushed and shoved - and both tumbled together into the rushing water below. A third goat watched from the bank, then crossed by simply lying down to let her neighbour step gently over. "I lost a moment's pride," she said, shaking off the dust, "and kept everything else."	दो ज़िद्दी बकरे एक गहरी खाई पर पड़ी पतली लकड़ी के बीचोबीच आमने-सामने आ गए। "हट जाओ! मैं पहले आया था!" एक गरजा। "कभी नहीं! ख़ुद हटो!" दूसरे ने झिड़का। दोनों सींग भिड़ाकर धकियाते रहे — और साथ ही नीचे बहते पानी में जा गिरे। एक तीसरी बकरी किनारे से यह सब देख रही थी; उसने आगे चलकर बस लेट जाना चुना और अपने पड़ोसी को धीरे से ऊपर से गुज़र जाने दिया। "मैंने एक पल का घमंड खोया," उसने धूल झाड़ते हुए कहा, "और बाक़ी सब बचा लिया।"
A little yielding can carry you across what stubbornness only sinks.	थोड़ा-सा झुक जाना वहाँ पार करा देता है, जहाँ ज़िद सिर्फ़ डुबोती है।
Standing your ground matters, little one - but so does knowing when to let someone pass. Pride is a costly bridge.	अपनी बात पर टिके रहना ज़रूरी है, नन्ही जान — पर यह जानना भी कि किसी को रास्ता कब देना है। घमंड बहुत महँगा पुल है।
The Caterpillar Who Was Teased	वो इल्ली जिसे चिढ़ाया गया
A plump caterpillar inched slowly along a branch while the swift insects mocked her. "Look at the slow, fat crawler! She'll never go anywhere!" The caterpillar said nothing. Quietly she spun herself a small silk room and disappeared inside, and the teasing insects forgot all about her. Then one bright morning the cocoon split, and out climbed a butterfly with wings like stained glass, lifting on the breeze far above them all. "You only saw what I was," she called down softly, "never what I was becoming."	एक मोटी इल्ली एक टहनी पर धीरे-धीरे सरक रही थी, और तेज़ उड़ने वाले कीड़े उसका मज़ाक़ उड़ा रहे थे। "देखो इस सुस्त, मोटी रेंगने वाली को! यह कहीं नहीं पहुँचेगी!" इल्ली ने कुछ नहीं कहा। उसने चुपचाप अपने चारों ओर रेशम का एक छोटा कमरा बुना और भीतर ग़ायब हो गई, और चिढ़ाने वाले कीड़े उसे भूल ही गए। फिर एक चमकीली सुबह वह ख़ोल फटा, और भीतर से एक तितली निकली — रंगीन काँच जैसे पंखों वाली — हवा पर उठकर उन सबसे कहीं ऊपर। "तुमने बस वो देखा जो मैं थी," उसने ऊपर से नरमी से पुकारा, "वो कभी नहीं जो मैं बन रही थी।"
Never judge anyone - or yourself - by an unfinished chapter.	किसी को — और ख़ुद को भी — अधूरे अध्याय से मत आँकना।
If anyone mocks who you are right now, little one, remember: they can't see who you're becoming. But I can.	अगर कोई इस बात का मज़ाक़ उड़ाए कि तुम अभी क्या हो, नन्ही जान, तो याद रखना: उन्हें यह नहीं दिखता कि तुम्हारे भीतर क्या बन रहा है। पर मुझे दिखता है।
The Jackal in Borrowed Colours	उधार के रंग वाला गीदड़
A jackal fell into a dyer's vat and climbed out stained a brilliant blue. The other animals, having never seen such a creature, bowed and made him their king. He strutted and ruled and pretended to be something rare - until one night, hearing a distant pack, he forgot himself and howled. At once every animal knew that howl: just a jackal after all. His borrowed colours could not hide his true voice, and his little kingdom scattered, laughing. "I might have been loved as I truly was," he realised too late, "instead of feared as something I was not."	एक गीदड़ रंगरेज़ के कुंड में गिर पड़ा और बाहर निकला तो चमकीले नीले रंग में रंगा हुआ था। बाक़ी जानवरों ने ऐसा जीव पहले कभी नहीं देखा था, सो उन्होंने सिर झुकाकर उसे अपना राजा बना लिया। वह अकड़कर चलता, हुकुम चलाता, और कोई दुर्लभ चीज़ होने का नाटक करता रहा — जब तक एक रात, दूर कहीं अपने झुंड की आवाज़ सुनकर, वह ख़ुद को भूल गया और हुआँ-हुआँ कर बैठा। उसी पल हर जानवर वह आवाज़ पहचान गया: आख़िर में गीदड़ ही तो था। उधार के रंग उसकी असली आवाज़ नहीं छिपा सके, और उसकी छोटी-सी बादशाहत हँसती हुई बिखर गई। "जो मैं सचमुच था, उसी रूप में शायद मुझे प्यार मिल जाता," उसे बहुत देर से समझ आया, "उस चीज़ की तरह डराए जाने से बेहतर, जो मैं था ही नहीं।"
Pretending to be more than you are costs the chance to be loved for who you are.	ख़ुद से बड़ा दिखने का नाटक, जो तुम हो उसी के लिए प्यार पाने का मौक़ा छीन लेता है।
You never have to paint yourself blue to matter, little one. The real you is more than enough - and far easier to carry.	मायने रखने के लिए ख़ुद पर नीला रंग पोतने की कभी ज़रूरत नहीं, नन्ही जान। तुम जैसे हो, वही काफ़ी से ज़्यादा है — और उसे ढोना कहीं आसान भी।
The Bee and the Idle Drone	मेहनती मधुमक्खी और निठल्ला नर
All summer a worker bee flew from blossom to blossom while an idle drone lounged in the sun. "You'll wear your wings out," the drone yawned. "The hive will feed me anyway." But when the cold set in and food grew scarce, the hive could no longer spare a share for one who had given nothing. The worker bee, though, was warm and welcome, fed gladly by all. "I didn't gather only for myself," she said. "I gathered for the hive - and the hive remembers who carried it."	पूरी गरमी एक मेहनती मधुमक्खी फूल-फूल उड़ती रही, जबकि एक निठल्ला नर धूप में पड़ा रहा। "तुम्हारे पंख घिस जाएँगे," उसने जम्हाई लेते हुए कहा। "छत्ता तो मुझे वैसे भी खिला ही देगा।" पर जब ठंड उतरी और खाना कम पड़ा, तो छत्ते के पास ऐसे किसी के लिए हिस्सा नहीं बचा जिसने कुछ दिया ही नहीं था। मेहनती मधुमक्खी को, इसके उलट, सब गरमजोशी से और ख़ुशी से खिलाते रहे। "मैंने सिर्फ़ अपने लिए जमा नहीं किया था," उसने कहा। "मैंने छत्ते के लिए किया था — और छत्ता याद रखता है कि उसे किसने सँभाला।"
What we give to those around us comes back to hold us up.	जो हम अपने आसपास वालों को देते हैं, वही लौटकर हमें थाम लेता है।
Do your share, little one, and a little more. The ones you help in summer are the ones who'll keep you warm in winter.	अपना हिस्सा ज़रूर करना, नन्ही जान, और उससे थोड़ा ज़्यादा भी। गरमियों में जिनका साथ दो, सर्दियों में वही तुम्हें गरम रखते हैं।
The Hawk and the Contented Hen	बाज़ और संतुष्ट मुर्गी
A hawk soared above a farmyard and sneered at a hen scratching in the dirt. "What a small, dull life - pecking at seeds while I command the sky!" The hen looked up calmly. "You hunt all day, alone and hungry, and sleep with one eye open. I have warm straw, full grain, and chicks who tuck under my wing each night. Your sky is wide, friend - but my small yard is full." The hawk flew on, and found, somewhere over the cold hills, that he had nothing to say.	एक बाज़ खलिहान के ऊपर उड़ता हुआ मिट्टी कुरेदती एक मुर्गी पर तंज़ कस बैठा। "कितनी छोटी, कितनी फीकी ज़िंदगी — दाने चुगती रहती हो, और मैं पूरे आसमान पर राज करता हूँ!" मुर्गी ने शांति से ऊपर देखा। "तुम दिन भर शिकार करते हो, अकेले और भूखे, और एक आँख खोलकर सोते हो। मेरे पास गरम पुआल है, भरपूर दाना है, और चूज़े हैं जो हर रात मेरे पंख के नीचे दुबक जाते हैं। तुम्हारा आसमान चौड़ा है, दोस्त — पर मेरा छोटा आँगन भरा हुआ है।" बाज़ आगे उड़ गया, और कहीं ठंडी पहाड़ियों के ऊपर उसे लगा कि कहने को उसके पास कुछ नहीं है।
A life is measured not by how high it flies, but by how full it is.	ज़िंदगी इससे नहीं नापी जाती कि वो कितनी ऊँची उड़ी, बल्कि इससे कि वो कितनी भरी हुई थी।
Don't envy anyone's sky, little one. A small life, full of warmth and the ones you love, is a rich life indeed.	किसी के आसमान से जलना मत, नन्ही जान। एक छोटी-सी ज़िंदगी, गरमाहट और अपनों से भरी हुई, सच में अमीर ज़िंदगी होती है।
The Spider Who Began Again	वो मकड़ी जिसने फिर से शुरू किया
A spider strung her web between two reeds, and the wind tore it down. She spun it again; a deer brushed past and broke it. A third time, and the rain washed it away. A beetle watching shook his head. "Give up - the world is against you." But the spider only set her first silk thread once more. By dawn her web hung perfect and jewelled with dew, catching the morning light and her breakfast besides. "The world wasn't against me," she said. "It was only seeing whether I meant it."	एक मकड़ी ने दो सरकंडों के बीच जाला बुना, और हवा ने उसे तोड़ दिया। उसने फिर बुना; एक हिरन छूकर निकल गया और जाला फट गया। तीसरी बार बुना, और बारिश उसे बहा ले गई। देख रहे एक भृंग ने सिर हिलाया। "छोड़ दो — दुनिया तुम्हारे ख़िलाफ़ है।" पर मकड़ी ने बस अपना पहला रेशमी धागा एक बार और बाँध दिया। सुबह होते-होते उसका जाला बेदाग़ लटक रहा था, ओस के मोतियों से जड़ा, सुबह की रोशनी के साथ-साथ अपना नाश्ता भी पकड़े हुए। "दुनिया मेरे ख़िलाफ़ नहीं थी," उसने कहा। "वह बस देख रही थी कि मेरा इरादा सच्चा है या नहीं।"
Begin again often enough, and what kept stopping you finally steps aside.	बार-बार फिर से शुरू करो, तो जो रोकता रहा है, वह आख़िर में रास्ता छोड़ देता है।
You'll have webs torn down, little one. Spin the next thread anyway. Persistence is just love that refuses to quit.	तुम्हारे जाले भी टूटेंगे, नन्ही जान। फिर भी अगला धागा बुन देना। लगे रहना बस वो प्यार है, जो हार मानने से इनकार कर दे।
The Fox and the Overfull Belly	लोमड़ी और भरा हुआ पेट
