A moment to build the father you want to be.	एक पल, वैसा पिता बनने की ओर जैसा आप बनना चाहते हैं।	Wo pita banne ka ek pal, jo aap banna chahte hain.	lib/data/father\fatherDailyContent.json/0/intro
Most fathers are carrying one worry they have decided not to mention. It does not get smaller by month nine. Say it this week, plainly, and let her carry half.	ज़्यादातर पिता एक फ़िक्र अपने भीतर रखते हैं जिसे न कहने का फ़ैसला वे कर चुके हैं। नौवें महीने तक वह छोटी नहीं होती। इस हफ़्ते सीधे कह दीजिए, और आधा उन्हें उठाने दीजिए।	Zyadatar pita ek fikr apne andar rakhte hain jise unhone na kehne ka faisla kiya hai. Woh nauve maheene tak chhoti nahi hoti. Is hafte seedhe kahiye, aur aadha use uthane dijiye.	lib/data/father\journey_week_33.json/father_insight/body
Know the route, know the signs	रास्ता जानिए, संकेत जानिए	Raasta jaaniye, sanket jaaniye	lib/data/father\journey_week_34.json/father_insight/title
Where you are going, how you get there at night, what actually means go now. Not so you can be calm, but so she does not have to be the one who knows.	कहाँ जाना है, रात में वहाँ कैसे पहुँचना है, और असल में किस बात का मतलब है — अब चलना है। इसलिए नहीं कि आप शांत रहें, बल्कि इसलिए कि सब कुछ उन्हें ही याद न रखना पड़े।	Kahan jaana hai, raat mein kaise pahunchna hai, aur asal mein kya matlab hai ki ab chalna hai. Isliye nahi ki aap shaant rahein, balki isliye ki use hi sab pata rakhna na pade.	lib/data/father\journey_week_34.json/father_insight/body
She may want less, not more	उन्हें कम चाहिए हो सकता है, ज़्यादा नहीं	Use kam chahiye ho sakta hai, zyada nahi	lib/data/father\journey_week_35.json/father_insight/title
Advice, visitors, plans. Around now many mothers want the world quieter. Being the person who says no on her behalf is a real job and it is yours.	सलाह, मेहमान, योजनाएँ। इन दिनों बहुत सी माँएँ चाहती हैं कि दुनिया थोड़ी शांत हो जाए। उनकी तरफ़ से मना कर देने वाला इंसान बनना एक असली काम है, और वह आपका है।	Salah, mehmaan, plans. Ab aksar mothers duniya ko shaant chahti hain. Uski taraf se mana karne wala insaan banna ek asli kaam hai, aur woh aapka hai.	lib/data/father\journey_week_35.json/father_insight/body
From here it can happen any day	यहाँ से यह किसी भी दिन हो सकता है	Yahan se kabhi bhi ho sakta hai	lib/data/father\journey_week_36.json/father_insight/title
Full term is close. Keep your phone charged and loud, tell work, and stop making plans you cannot leave. Readiness is mostly logistics.	पूरा समय क़रीब है। फ़ोन चार्ज और आवाज़ पर रखिए, काम पर बता दीजिए, और ऐसी योजनाएँ बनाना बंद कीजिए जिन्हें बीच में छोड़ न सकें। तैयारी ज़्यादातर इंतज़ाम ही है।	Full term kareeb hai. Phone charge aur awaaz par rakhiye, kaam par bata dijiye, aur aise plans banana band kijiye jinhe chhod na sakein. Taiyaari zyadatar intezaam hi hai.	lib/data/father\journey_week_36.json/father_insight/body
Full term, and still waiting	पूरा समय, और अब भी इंतज़ार	Full term, aur abhi bhi intezaar	lib/data/father\journey_week_37.json/father_insight/title
Full term is not a due date. The waiting from here is its own strain, mostly on her. Take the question any news yet off her plate wherever you can.	पूरा समय डिलीवरी की तारीख़ नहीं होता। यहाँ से का इंतज़ार अपने आप में एक बोझ है, ज़्यादातर उन पर। कोई ख़बर आई क्या — यह सवाल जितना हो सके उनके हिस्से से हटा दीजिए।	Full term due date nahi hai. Yahan se ka intezaar apne aap mein ek bojh hai, zyadatar us par. Koi khabar wala sawaal jitna ho sake uske hisse se hata dijiye.	lib/data/father\journey_week_37.json/father_insight/body
You will not feel ready	आपको तैयार नहीं लगेगा	Aapko taiyaar nahi lagega	lib/data/father\journey_week_38.json/father_insight/title
Nobody does. Readiness is not a feeling that arrives before the birth. It builds afterwards, out of showing up repeatedly when you have no idea what you are doing.	किसी को नहीं लगता। तैयारी कोई ऐसा एहसास नहीं जो जन्म से पहले आ जाए। यह बाद में बनती है — बार-बार हाज़िर होने से, तब भी जब कुछ समझ न आ रहा हो।	Kisi ko nahi lagta. Taiyaari koi ehsaas nahi hai jo janm se pehle aa jaaye. Yeh baad mein banti hai, baar baar haazir hone se, tab bhi jab aapko kuch samajh na aa raha ho.	lib/data/father\journey_week_38.json/father_insight/body
Your job on the day	उस दिन आपका काम	Us din aapka kaam	lib/data/father\journey_week_39.json/father_insight/title
You are not the patient and you are not the doctor. You are the one who knows what she wanted, keeps the room calm, and asks the question she is too tired to ask.	न आप मरीज़ हैं, न डॉक्टर। आप वह हैं जिसे पता है कि उन्होंने क्या चाहा था, जो कमरे को शांत रखता है, और वह सवाल पूछता है जो पूछने की ताक़त उनमें नहीं बची।	Aap na mareez hain na doctor. Aap woh hain jise pata hai ki usne kya chaaha tha, jo kamre ko shaant rakhta hai, aur woh sawaal poochta hai jo poochne ki taakat us mein nahi bachi.	lib/data/father\journey_week_39.json/father_insight/body
Whenever it happens, it happens right	जब भी हो, ठीक ही होता है	Jab bhi ho, theek hi hota hai	lib/data/father\journey_week_40.json/father_insight/title
Early, late, planned, changed at the last minute. None of it is a verdict on either of you. The only thing being asked of you now is to be there.	जल्दी, देर से, सोचा हुआ, आख़िरी पल पर बदला हुआ। इनमें से कुछ भी आप दोनों पर फ़ैसला नहीं है। अब आपसे बस इतना माँगा जा रहा है कि आप वहाँ हों।	Jaldi, der se, socha hua, aakhri pal par badla hua. Inmein se kuch bhi aap dono par faisla nahi hai. Ab aapse sirf itna maanga ja raha hai ki aap wahan hon.	lib/data/father\journey_week_40.json/father_insight/body
