Hinduism	हिन्दू धर्म
A small lit lamp is a tender symbol across many homes, standing for warmth, hope and a fresh beginning. Lighting one as you think of your baby can be a quiet, grounding moment in a busy day.	एक छोटा-सा जलता दीया कई घरों में एक कोमल प्रतीक है — गर्माहट, उम्मीद और नई शुरुआत का। अपने शिशु के बारे में सोचते हुए एक दीया जला देना, भागते दिन में एक शांत, टिकाने वाला पल बन सकता है।
A protective thread	रक्षा का एक धागा
Tying a simple thread as a gesture of protection and good wishes is a familiar custom. Whatever you believe, the intention behind it, to keep someone safe and loved, is a beautiful one to carry.	रक्षा और शुभकामना के भाव से एक सादा धागा बाँध देना जाना-पहचाना रिवाज है। आप जो भी मानती हों, उसके पीछे का भाव — किसी को सुरक्षित और प्यार में रखना — साथ लिए चलने लायक़ बहुत सुंदर बात है।
Auspicious beginnings	शुभ शुरुआतें
Many traditions mark beginnings with care and good wishes, in the hope that what starts well grows well. Your pregnancy is one of life's biggest beginnings; treating it gently honours that.	कई परंपराएँ शुरुआतों को ध्यान और शुभकामनाओं के साथ मनाती हैं, इस उम्मीद में कि जो अच्छा शुरू होता है वह अच्छा बढ़ता भी है। आपकी गर्भावस्था जीवन की सबसे बड़ी शुरुआतों में से एक है; उसे कोमलता से लेना ही उसका सम्मान है।
The blessing of being pampered	लाड़ पाने का आशीर्वाद
In many homes, late pregnancy brings a celebration where the mother is gently pampered and showered with blessings. Letting yourself be cared for like this is not indulgence; it is part of the tradition, and you deserve it.	कई घरों में गर्भावस्था के आख़िरी महीनों में एक उत्सव होता है, जहाँ माँ को लाड़ लड़ाया जाता है और आशीर्वादों से भर दिया जाता है। इस तरह अपना ख़याल रखवाना नखरा नहीं है; यह परंपरा का हिस्सा है, और आप इसकी हक़दार हैं।
Sweetness, shared	बाँटी हुई मिठास
Sweets are offered at happy beginnings as a wish that the life ahead will be sweet too. Sharing something sweet with the people you love is a small, joyful way to mark this season.	ख़ुशी की शुरुआतों पर मिठाई इसलिए बाँटी जाती है कि आगे का जीवन भी मीठा हो। अपनों के साथ कुछ मीठा बाँटना, इस मौसम को मनाने का एक छोटा, ख़ुशनुमा तरीक़ा है।
Bangles and good wishes	चूड़ियाँ और शुभकामनाएँ
Gifts like bangles, given to an expectant mother, carry warmth and well-wishing in a simple, beautiful form. Each one is really a loved one saying, 'I am thinking of you and your baby.'	चूड़ियों जैसे उपहार, जो होने वाली माँ को दिए जाते हैं, बहुत सादे और सुंदर रूप में गर्माहट और शुभकामना लिए होते हैं। हर एक असल में किसी अपने का यह कहना है, 'मैं आपको और आपके शिशु को याद कर रही हूँ।'
Lights as a fresh start	रोशनी, यानी नई शुरुआत
Festivals of light celebrate the turning from darkness toward hope and new beginnings. Your pregnancy is its own festival of light, a small new life arriving to brighten your world.	रोशनी के त्योहार अँधेरे से उम्मीद और नई शुरुआत की ओर मुड़ने का उत्सव हैं। आपकी गर्भावस्था अपने आप में रोशनी का त्योहार है — एक नन्ही ज़िंदगी, जो आपकी दुनिया को रोशन करने आ रही है।
Marking the months	महीनों को याद रखना
Many families mark each stage of pregnancy with a small ritual or a shared moment. You might create your own gentle ritual, a candle, a note, a photo, to honour each month as it passes.	कई परिवार गर्भावस्था के हर पड़ाव को किसी छोटे रिवाज या साझा पल से मनाते हैं। आप अपना कोई कोमल रिवाज बना सकती हैं — एक दीया, एक चिट्ठी, एक तस्वीर — ताकि हर बीतता महीना यूँ ही न निकल जाए।
A blessing for the road ahead	आगे के रास्ते के लिए आशीर्वाद
Some customs are simply a way of asking for protection and good fortune for the months to come. Whatever form it takes, being blessed and wished well is a lovely thing to carry into birth.	कुछ रिवाज बस आने वाले महीनों के लिए रक्षा और शुभ की माँग हैं। रूप जो भी हो, आशीर्वाद पाना और शुभकामनाएँ लेकर जन्म की ओर बढ़ना बहुत प्यारी बात है।
Welcoming over the threshold	देहरी पार, स्वागत
Welcoming customs greet a new arrival warmly as they cross into the family home. You are already preparing that welcome, in your heart and in the little corner you are making ready.	स्वागत के रिवाज नए आने वाले का गरमजोशी से स्वागत करते हैं, जब वह पहली बार घर की देहरी पार करता है। वह स्वागत आप अभी से तैयार कर रही हैं — अपने दिल में, और उस छोटे कोने में जिसे आप सजा रही हैं।
First foods, in time	पहला निवाला, अपने समय पर
Later there will be small ceremonies for a baby's first taste of solid food, full of joy and good wishes. For now, the nourishing food you eat is its own quiet first gift to your child.	आगे चलकर शिशु के पहले ठोस निवाले के लिए छोटे-छोटे संस्कार होंगे, ख़ुशी और शुभकामनाओं से भरे। अभी के लिए, जो पौष्टिक खाना आप खाती हैं, वही आपके बच्चे को दिया हुआ पहला चुपचाप उपहार है।
The meaning under the custom	रिवाज के नीचे का भाव
Behind most rituals is a simple, loving intention, to protect, to bless, to give thanks. You can keep the meaning even where the form does not fit your life: just hold the loving wish.	ज़्यादातर रीति-रिवाजों के पीछे एक सीधा, प्रेम भरा भाव होता है — बचाना, आशीर्वाद देना, शुक्रिया कहना। जहाँ रूप आपके जीवन में ठीक न बैठे, वहाँ भी आप भाव रख सकती हैं: बस वह प्रेम भरी कामना थामे रखिए।
A community that shows up	साथ आ खड़े होने वाले लोग
Festivals and ceremonies gather people together, so no one carries joy or hardship alone. Letting your own community gather around you now is part of that same gift.	त्योहार और संस्कार लोगों को इकट्ठा करते हैं, ताकि ख़ुशी या मुश्किल कोई अकेला न उठाए। अभी अपने लोगों को अपने आसपास इकट्ठा होने देना उसी उपहार का हिस्सा है।
Colours of joy	ख़ुशी के रंग
Bright colours, flowers and decoration are used to mark glad occasions and lift the heart. Bringing a little colour and beauty into your days can be its own small celebration of this time.	चटख़ रंग, फूल और सजावट ख़ुशी के मौक़ों को मनाने और मन को हल्का करने के लिए होते हैं। अपने दिनों में थोड़ा रंग और थोड़ी सुंदरता ले आना, इस समय का अपना छोटा-सा उत्सव है।
The blessings of elders	बड़ों का आशीर्वाद
The good wishes of grandparents and elders are treasured at every milestone. Their blessings, spoken or simply felt, wrap your baby in a love that stretches back through generations.	हर पड़ाव पर दादा-दादी और बड़ों की शुभकामनाएँ बहुत क़ीमती मानी जाती हैं। उनका आशीर्वाद, कहा हुआ या बस महसूस किया हुआ, आपके शिशु को उस प्रेम में लपेट देता है जो पीढ़ियों पीछे तक जाता है।
A name chosen with love	प्रेम से चुना गया नाम
Choosing a baby's name is often a small ceremony of its own, full of meaning and hope. As you turn names over in your mind, you are already beginning that loving ritual.	शिशु का नाम चुनना अक्सर अपने आप में एक छोटा संस्कार होता है, अर्थ और उम्मीद से भरा। जैसे-जैसे आप मन में नाम पलटती हैं, आप वह प्रेम भरा रिवाज शुरू कर ही चुकी हैं।
Hopes tied into a thread	धागे में बँधी उम्मीदें
Tying a thread or token is a simple way of binding good wishes and protection to someone you love. You might tie your own quiet hopes to a small keepsake for your baby.	धागा या कोई निशानी बाँध देना, किसी अपने से शुभकामनाएँ और रक्षा जोड़ देने का सादा तरीक़ा है। आप भी अपनी चुपचाप उम्मीदें अपने शिशु के लिए रखी किसी छोटी निशानी से बाँध सकती हैं।
Gratitude at harvest	फ़सल पर कृतज्ञता
Harvest festivals are, at heart, a thank-you for what has grown and been given. In your own way, you might pause to give thanks for the little life growing within you.	फ़सल के त्योहार, मन से देखें तो, जो उगा और जो मिला उसके लिए शुक्रिया हैं। अपने तरीक़े से आप भी पल भर रुककर उस नन्ही ज़िंदगी के लिए शुक्रिया कह सकती हैं जो आपके भीतर बढ़ रही है।
Making room for joy	ख़ुशी के लिए जगह बनाना
Rituals carve out time to simply stop and celebrate, instead of rushing past the good. Letting yourself fully feel the joy of this season, even briefly, is a ritual worth keeping.	रीति-रिवाज समय निकालकर रुकने और ख़ुश होने का मौक़ा देते हैं, ताकि अच्छी बातें भागदौड़ में छूट न जाएँ। इस मौसम की ख़ुशी को पूरा-पूरा महसूस कर लेना, चाहे थोड़ी देर के लिए ही, अपने आप में निभाने लायक़ रिवाज है।
Calm & wellbeing	शांति और सेहत
Sharing your calm	अपनी शांति बाँटना
A central idea in Garbh Sanskar is that a mother's calm is quietly shared with her baby. So caring for your own peace, with music you love, slow breaths, a little rest, is also caring for your little one.	गर्भ संस्कार की एक मुख्य बात यह है कि माँ की शांति चुपचाप उसके शिशु तक पहुँच जाती है। तो अपने सुकून का ख़याल रखना — पसंदीदा संगीत, धीमी साँसें, थोड़ा आराम — असल में अपने नन्हे का ही ख़याल रखना है।
Warm food, gentle rhythm	गरम खाना, कोमल दिनचर्या
Drawing on Ayurveda, this tradition leans toward warm, nourishing, easy-to-digest food and an unhurried daily rhythm. The aim is balance, a settled body and a settled mind.	आयुर्वेद से लेते हुए यह परंपरा गरम, पौष्टिक और आसानी से पचने वाले खाने और बिना भागदौड़ वाली दिनचर्या की ओर झुकती है। मक़सद है संतुलन — एक ठहरा हुआ शरीर और एक ठहरा हुआ मन।
Talking and singing to your bump	अपने पेट से बात करना और गाना
Singing or speaking softly to your baby is a loved practice, and your baby really can hear you now. A few minutes a day begins a bond that continues long after birth.	शिशु से धीरे-धीरे बोलना या गाना बहुत प्यारा अभ्यास है, और आपका शिशु अब सच में आपको सुन सकता है। दिन के कुछ मिनट एक ऐसा नाता शुरू कर देते हैं जो जन्म के बाद भी लंबा चलता है।
Rest is not laziness	आराम आलस नहीं है
This wisdom treats rest as part of the work of growing a baby, not a break from it. When your body asks you to slow down, it is okay, even wise, to listen.	यह समझ आराम को बच्चा पालने के काम का हिस्सा मानती है, उससे छुट्टी नहीं। जब आपका शरीर धीमे होने को कहे, तो सुन लेना ठीक है — बल्कि समझदारी है।
Music for two	दो के लिए संगीत
Soft, soothing music is treasured here for the calm it brings the mother, and that calm reaches the baby too. A favourite gentle song, played often, can become a comfort your little one recognises after birth.	नरम, सुकून देने वाला संगीत यहाँ इसलिए क़ीमती है कि वह माँ को शांति देता है, और वह शांति शिशु तक भी पहुँचती है। कोई पसंदीदा कोमल गीत, बार-बार सुना जाए, तो जन्म के बाद आपका नन्हा उसे पहचान सकता है।
A slow morning	एक धीमी सुबह
An unhurried start to the day is treated as good medicine for body and mind. Even ten quiet minutes before the rush, breath, warmth, a hand on your bump, can set a gentler tone for everything after.	बिना भागदौड़ वाली सुबह को शरीर और मन के लिए अच्छी दवा माना गया है। भागमभाग से पहले दस शांत मिनट भी — साँस, गर्माहट, पेट पर रखा हाथ — बाक़ी पूरे दिन का सुर नरम कर देते हैं।
Eating with love	प्रेम से खाना
There is a belief that how you eat matters as much as what you eat, that food given with calm and care nourishes more deeply. Sitting down, slowing down, and eating warm food with gratitude turns a meal into self-care.	एक मान्यता है कि आप कैसे खाती हैं, यह उतना ही मायने रखता है जितना क्या खाती हैं — शांति और ध्यान से दिया गया खाना ज़्यादा गहराई से पोषण देता है। बैठकर, धीरे-धीरे, आभार के साथ गरम खाना खाना, एक साधारण भोजन को अपनी देखभाल बना देता है।
One kind thought	एक प्यारा ख़याल
This tradition gently holds that a mother's loving, hopeful thoughts are felt by her baby. You do not need a perfectly positive mind, just to offer your little one one warm thought a day.	यह परंपरा धीरे से मानती है कि माँ के प्रेम भरे, उम्मीद भरे ख़याल उसके शिशु तक महसूस होते हैं। आपको एकदम सकारात्मक मन की ज़रूरत नहीं — बस दिन में एक गरम-सा ख़याल अपने नन्हे को दे दीजिए।
Gentle movement	कोमल हरकत
Soft movement, a slow walk, easy stretches, gentle prenatal yoga, is encouraged to keep body and mind at ease. The aim is not effort but flow, moving in a way that feels kind to you.	नरम हरकत — धीमी सैर, आसान खिंचाव, गर्भावस्था वाला कोमल योग — शरीर और मन को सहज रखने के लिए कही जाती है। मक़सद ज़ोर लगाना नहीं, बहना है — उतना ही और वैसे ही, जैसे आपको अच्छा लगे।
A little time in nature	थोड़ा समय क़ुदरत के साथ
Time among trees, sky and fresh air has long been seen as quietly healing. Even sitting by a window in the light counts; let nature do some of the soothing for you.	पेड़ों, आसमान और खुली हवा के बीच बिताया समय हमेशा से चुपचाप भर देने वाला माना गया है। खिड़की के पास रोशनी में बैठ जाना भी गिना जाता है; कुछ सुकून क़ुदरत को भी देने दीजिए।
Guarding your peace	अपने सुकून की पहरेदारी
Because a mother's calm is shared with her baby, protecting that peace is treated as worthwhile, even necessary. It is okay to step back from noise, news or people that unsettle you right now.	क्योंकि माँ की शांति उसके शिशु तक पहुँचती है, इसलिए उस शांति को बचाना ज़रूरी माना जाता है। अभी उस शोर, उन ख़बरों या उन लोगों से दूर हट जाना बिल्कुल ठीक है जो आपका मन डगमगा देते हैं।
Winding down for sleep	नींद से पहले धीमे पड़ना
A gentle, predictable wind-down helps both body and mind settle for rest. Dimming the lights, a warm drink, a few slow breaths, these small signals tell you it is safe to let go.	एक कोमल, हर रोज़ एक जैसी तैयारी शरीर और मन दोनों को आराम के लिए बिठा देती है। रोशनी मद्धम करना, कुछ गरम पीना, कुछ धीमी साँसें — ये छोटे इशारे बता देते हैं कि अब ढीला छोड़ देना सुरक्षित है।
Breathing room	साँस भर की जगह
Slow, deep breathing is one of the simplest tools this wisdom offers, calming the body almost at once. A few long breaths, whenever you remember, are a gift you can give yourself anywhere.	धीमी, गहरी साँस इस समझ के सबसे सरल औज़ारों में से एक है, जो शरीर को लगभग तुरंत शांत कर देती है। कुछ लंबी साँसें, जब भी याद आए — यह तोहफ़ा आप ख़ुद को कहीं भी दे सकती हैं।
Surround yourself with softness	अपने चारों ओर नरमी रखिए
Soft sounds, soft light, soft words, this tradition leans toward gentleness in your surroundings. Curating a little softness around you is a quiet way of caring for two.	नरम आवाज़ें, नरम रोशनी, नरम शब्द — यह परंपरा आपके आसपास की चीज़ों में भी कोमलता की ओर झुकती है। अपने चारों ओर थोड़ी नरमी बुन लेना, दो जनों का ख़याल रखने का एक चुपचाप तरीक़ा है।
Less, but kinder	कम, पर ज़्यादा नरमी से
Wellbeing here is less about doing more and more about doing things gently. Trimming your days down to what truly matters, done with care, is its own kind of nourishment.	यहाँ सेहत का मतलब ज़्यादा करना नहीं, चीज़ों को कोमलता से करना है। अपने दिन को उतने तक छाँट लेना जो सच में ज़रूरी है, और उसे ध्यान से करना — यह अपने आप में एक तरह का पोषण है।
Calm is contagious	शांति भी फैलती है
Just as tension can spread, so can calm, and your settled heart can settle your baby. Tending your own peace is therefore one of the most loving things you can do for your child.	जैसे तनाव फैलता है, वैसे ही शांति भी — और आपका ठहरा हुआ मन आपके शिशु को भी ठहरा सकता है। इसलिए अपने सुकून का ख़याल रखना उन सबसे प्रेम भरे कामों में से एक है जो आप अपने बच्चे के लिए कर सकती हैं।
A small joy each day	हर दिन एक छोटी ख़ुशी
Building in one small, sure joy a day, a warm bath, a favourite tea, a song, keeps the heart light through a long season. These little pleasures are not extras; they are part of staying well.	दिन में एक छोटी, पक्की ख़ुशी तय कर लेना — एक गरम स्नान, पसंदीदा चाय, कोई गाना — लंबे मौसम में मन हल्का रखता है। ये छोटी ख़ुशियाँ फ़ालतू नहीं हैं; ये ठीक बने रहने का हिस्सा हैं।
Closing the day with thanks	दिन को शुक्रिया के साथ बंद करना
Ending the day by recalling one good thing settles the mind for sleep and softens the worries. A single grateful thought, hand on your bump, is a lovely way to say goodnight to your baby.	दिन के आख़िर में एक अच्छी बात याद कर लेना मन को नींद के लिए बिठा देता है और चिंताओं को नरम कर देता है। एक अकेला आभार भरा ख़याल, पेट पर रखा हाथ — अपने शिशु को शुभरात्रि कहने का बहुत प्यारा तरीक़ा है।
Permission to slow down	धीमे होने की इजाज़त
This wisdom treats slowing down not as falling behind but as moving at the right pace for growing a baby. Give yourself full permission to rest; it is exactly what this season asks of you.	यह समझ धीमे पड़ने को पीछे रह जाना नहीं मानती, बल्कि बच्चा पालने की सही रफ़्तार पर चलना मानती है। ख़ुद को आराम करने की पूरी इजाज़त दीजिए; यह मौसम आपसे यही तो माँग रहा है।
Tending the inner garden	भीतर के बग़ीचे को सींचना
Caring for your inner world, your thoughts and feelings, is seen as tending a garden your baby will grow in. Be patient and kind with that garden; weeds and all, it is doing beautifully.	अपनी भीतरी दुनिया का — अपने विचारों और भावनाओं का — ख़याल रखना उस बग़ीचे को सँभालने जैसा माना गया है जिसमें आपका शिशु पलेगा। उस बग़ीचे के साथ धीरज और नरमी रखिए; घास-फूस समेत, वह बहुत अच्छा चल रहा है।
