Christianity	ईसाई धर्म
Under every blessing is the reminder that you are held and not alone. Whatever today holds, that remains true.	हर आशीर्वाद के नीचे यही याद दिलाया जाता है कि आप सँभाली हुई हैं, अकेली नहीं। आज जो भी लेकर आए, यह बात सच बनी रहती है।
Jainism	जैन धर्म
Ahimsa, gentleness and a calm, reflective heart.	अहिंसा, कोमलता और एक शांत, मनन करता मन।
Ahimsa & compassion	अहिंसा और करुणा
Gentleness toward all life	हर जीव के प्रति कोमलता
At the heart of Jain thought is ahimsa, a deep gentleness and non-harm toward all living things. As you grow a new life, that reverence for life feels especially close to home.	जैन विचार के केंद्र में अहिंसा है — हर जीव के प्रति गहरी कोमलता और किसी को दुख न पहुँचाने का भाव। जब आप ख़ुद एक नया जीवन पाल रही हों, तो जीवन के प्रति यह आदर और भी अपना-सा लगता है।
A compassionate plate	करुणा से भरी थाली
This compassion often shows up in mindful, vegetarian eating and care not to harm. However you eat, the gentle intention behind it, to do as little harm as you can, is a beautiful one to carry.	यह करुणा अक्सर सोच-समझकर किए गए शाकाहारी भोजन में और किसी को दुख न पहुँचाने की सावधानी में दिखती है। आप जैसा भी खाती हों, उसके पीछे का कोमल भाव — जितना कम हो सके, उतना कम दुख देना — साथ रखने लायक़ सुंदर बात है।
Soft words, soft heart	नरम बोल, नरम मन
Non-harm extends to words and thoughts, not just actions, speaking kindly and thinking kindly. A calm, gentle inner world is a soothing place for your baby to grow.	अहिंसा सिर्फ़ कामों तक नहीं, बोल और विचार तक जाती है — मीठा बोलना और मीठा सोचना। एक शांत, कोमल भीतरी दुनिया आपके शिशु के पलने के लिए बहुत सुकून भरी जगह है।
Doing less harm, gently	कम दुख, धीरे-धीरे
Jain practice is realistic: it is about reducing harm with care, not achieving perfection. The same grace applies to pregnancy, small kind choices without pressure.	जैन साधना ज़मीन से जुड़ी है: बात दुख को ध्यान से घटाने की है, सब कुछ परिपूर्ण कर देने की नहीं। यही छूट गर्भावस्था पर भी लागू होती है — छोटे-छोटे अच्छे चुनाव, बिना किसी दबाव के।
Reverence for the small	छोटे के लिए आदर
There is a tender attention here to even the smallest forms of life. It is a lovely lens for these months, when the smallest of beginnings, your baby, means everything.	यहाँ सबसे नन्हे जीवों तक पर एक कोमल ध्यान रखा जाता है। इन महीनों को देखने के लिए यह कितना सुंदर नज़रिया है, जब सबसे छोटी-सी शुरुआत — आपका शिशु — ही सब कुछ है।
Reverence for life	जीवन के लिए आदर
At the heart of Jain thought is a deep gentleness toward all living things. As you grow a new life, that reverence feels especially close to home.	जैन विचार के केंद्र में हर जीव के प्रति गहरी कोमलता है। जब आप ख़ुद एक नया जीवन पाल रही हों, तो यह आदर और भी अपना-सा लगता है।
A gentle plate	एक कोमल थाली
Compassion often shows up in mindful, gentle eating. However you eat, the kind intention, to do as little harm as you can, is a beautiful one to carry.	करुणा अक्सर सोच-समझकर किए गए, कोमल भोजन में दिखती है। आप जैसा भी खाती हों, वह अच्छा भाव — जितना कम हो सके, उतना कम दुख देना — साथ रखने लायक़ सुंदर बात है।
Soft words, soft thoughts	नरम बोल, नरम विचार
Non-harm reaches into words and thoughts, not just actions. A calm, gentle inner world is a soothing place for your baby to grow.	अहिंसा सिर्फ़ कामों तक नहीं, बोल और विचार तक पहुँचती है। एक शांत, कोमल भीतरी दुनिया आपके शिशु के पलने के लिए बहुत सुकून भरी जगह है।
Gentler, not perfect	और कोमल, परिपूर्ण नहीं
Jain practice is realistic: it is about reducing harm with care, not perfection. The same grace fits pregnancy, small kind choices without pressure.	जैन साधना ज़मीन से जुड़ी है: बात दुख को ध्यान से घटाने की है, परिपूर्णता की नहीं। यही छूट गर्भावस्था पर भी बैठती है — छोटे-छोटे अच्छे चुनाव, बिना दबाव के।
Honouring the small	छोटे का मान
There is tender attention here to even the smallest forms of life. It is a lovely lens now, when the smallest beginning, your baby, means everything.	यहाँ सबसे नन्हे जीवों तक पर एक कोमल ध्यान है। अभी यह कितना सुंदर नज़रिया है, जब सबसे छोटी शुरुआत — आपका शिशु — ही सब कुछ है।
Compassion for yourself	अपने लिए भी करुणा
Gentleness toward all beings includes yourself. Be as careful and kind with your own body and heart as you would be with any living thing.	हर जीव के प्रति कोमलता में आप भी शामिल हैं। अपने शरीर और अपने मन के साथ उतनी ही सावधानी और नरमी बरतिए, जितनी आप किसी भी जीव के साथ बरततीं।
Careful steps	सँभलकर रखे क़दम
A mindful awareness of one's effect on the world is treasured. Moving through your days a little more gently is care for two.	यहाँ इस बात का ध्यान रखा जाता है कि हमारा असर दुनिया पर क्या पड़ रहा है। अपने दिनों में ज़रा और कोमलता से चलना — यह दो जनों की देखभाल है।
Kindness to creatures	जीव-जंतुओं पर दया
Tenderness toward animals and small creatures is part of this gentleness. Noticing and protecting little lives is a sweet habit to model.	जानवरों और छोटे जीवों के प्रति नरमी इसी कोमलता का हिस्सा है। नन्ही जानों को देखना और बचाना — बच्चे को दिखाने लायक़ एक मीठी आदत है।
Peace begins within	शांति भीतर से शुरू होती है
A peaceful outer life is seen to begin with a peaceful heart. Tending your own calm quietly tends your baby's world.	यहाँ माना जाता है कि बाहर की शांति भीतर के शांत मन से शुरू होती है। अपने ठहराव का ध्यान रखना चुपचाप आपके शिशु की दुनिया का ध्यान रखना है।
The path of least harm	सबसे कम दुख वाला रास्ता
The aim is to choose, again and again, the path of least harm. In pregnancy that can simply mean gentler choices, made without guilt.	कोशिश यही रहती है कि बार-बार वही रास्ता चुना जाए जिसमें सबसे कम दुख हो। गर्भावस्था में इसका मतलब बस इतना है — थोड़े और कोमल चुनाव, बिना अपराध-बोध के।
Patience as non-harm	धीरज भी अहिंसा है
Patience itself is a kind of gentleness, sparing others and yourself sharp edges. On hard days, a patient pause is a small act of care.	धीरज अपने आप में एक तरह की कोमलता है — दूसरों को और ख़ुद को तीखी चोट से बचा लेना। मुश्किल दिनों में एक धैर्य भरा ठहराव भी देखभाल का छोटा-सा काम है।
Respect woven in	आदर, रोज़ में बुना हुआ
Respect for life threads through ordinary actions, how you speak, eat and move. Let that respect include the little life you carry.	जीवन के लिए आदर रोज़ के कामों में बुना रहता है — आप कैसे बोलती हैं, खाती हैं, चलती हैं। उस आदर में उस नन्ही जान को भी शामिल कीजिए जिसे आप लिए चल रही हैं।
A gentle home	एक कोमल घर
Building a calm, harm-light home is a quiet expression of this value. Your baby will be born into the gentleness you create.	एक शांत घर बनाना, जहाँ किसी को कम से कम दुख पहुँचे, इसी भाव को चुपचाप जीना है। आप जो कोमलता बना रही हैं, आपका शिशु उसी में जन्म लेगा।
Gratitude for being alive	जीने की कृतज्ञता
There is wonder here at the gift of life itself. Pausing in awe that a new life is forming in you is its own gentle practice.	यहाँ जीवन के उपहार पर ही अचरज है। एक पल ठहरकर यह महसूस करना कि आपके भीतर एक नया जीवन बन रहा है — यह अपने आप में एक कोमल साधना है।
Kindness, repeated	दया, बार-बार
Compassion is treated as a daily practice, returned to again and again. Each small kind choice strengthens it, and your child will feel that warmth.	करुणा को रोज़ की साधना माना जाता है, जिस पर बार-बार लौटा जाता है। हर छोटा दयालु चुनाव उसे और मज़बूत करता है, और आपका बच्चा उस गर्माहट को महसूस करेगा।
Calm reflections	शांत मनन
Letting go lightly	हल्के हाथों से छोड़ देना
Jain wisdom values non-attachment, holding life's ups and downs a little more lightly. On anxious days, gently loosening your grip on what you cannot control can bring real relief.	जैन समझ अनासक्ति को मानती है — जीवन के उतार-चढ़ाव को ज़रा हल्के हाथों से थामना। घबराहट वाले दिनों में जो आपके बस में नहीं, उस पर पकड़ धीरे से ढीली कर देना सचमुच राहत देता है।
Stillness as strength	ठहराव में ताक़त
Quiet, reflective stillness is treasured, a settling of the restless mind. A few still minutes a day are a gift to both you and your baby.	यहाँ चुपचाप, मनन भरे ठहराव को बहुत माना जाता है — बेचैन मन का बैठ जाना। दिन के कुछ ठहरे हुए मिनट आपके और आपके शिशु, दोनों के लिए उपहार हैं।
A kind look inward	भीतर की ओर एक नरम नज़र
Looking honestly and kindly at your own heart is encouraged, not to judge but to grow. A gentle nightly check-in can be calming rather than critical.	अपने मन को सच्चाई और नरमी से देखना यहाँ अच्छा माना जाता है — ख़ुद को तौलने के लिए नहीं, बढ़ने के लिए। रात को अपने आप से एक कोमल हाल-चाल पूछना डाँट नहीं, तसल्ली बन सकता है।
Forgiveness and a fresh start	क्षमा और एक नई शुरुआत
Jain tradition cherishes forgiveness, letting go of grudges and beginning again. Releasing old weight makes room for the new life ahead.	जैन परंपरा में क्षमा को बहुत सहेजा जाता है — मन की गाँठें छोड़ देना और फिर से शुरू करना। पुराना बोझ उतार देने से आगे आने वाले नए जीवन के लिए जगह बनती है।
Peace from within	भीतर से उगी शांति
Lasting peace, in this view, is grown from the inside out. The calm you cultivate now is something you carry into motherhood.	इस नज़रिए में टिकने वाली शांति भीतर से बाहर की ओर उगती है। जो ठहराव आप अभी उगा रही हैं, वही आप माँ बनकर साथ ले जाएँगी।
Holding lightly	हल्के हाथ से थामना
Jain wisdom values holding life's ups and downs a little more lightly. On anxious days, loosening your grip on what you cannot control brings relief.	जैन समझ कहती है कि जीवन के उतार-चढ़ाव को ज़रा हल्के हाथों से थामिए। घबराहट वाले दिनों में जो आपके बस में नहीं, उस पर पकड़ ढीली करना राहत देता है।
The strength in stillness	ठहराव की ताक़त
Quiet, reflective stillness is treasured, a settling of the restless mind. A few still minutes a day are a gift to you and your baby.	चुपचाप, मनन भरे ठहराव को यहाँ बहुत माना जाता है — बेचैन मन का बैठ जाना। दिन के कुछ ठहरे हुए मिनट आपके और आपके शिशु के लिए उपहार हैं।
A gentle look within	भीतर एक कोमल झाँक
Looking honestly and gently at your own heart is encouraged, not to judge but to grow. A soft nightly check-in can calm rather than criticise.	अपने मन में सच्चाई और कोमलता से झाँकना यहाँ अच्छा माना जाता है — तौलने के लिए नहीं, बढ़ने के लिए। रात को अपने आप से एक नरम हाल-चाल पूछना आलोचना नहीं, शांति देता है।
The relief of forgiving	माफ़ कर देने की राहत
Forgiveness, letting go of grudges and beginning again, is cherished. Releasing old weight makes room for the new life ahead.	क्षमा — मन की गाँठें छोड़ देना और फिर से शुरू करना — यहाँ बहुत सहेजी जाती है। पुराना बोझ उतार देने से आगे आने वाले नए जीवन के लिए जगह बनती है।
Peace grown within	भीतर उगाई गई शांति
Lasting peace, in this view, is grown from the inside out. The calm you cultivate now you carry into motherhood.	इस नज़रिए में टिकने वाली शांति भीतर से बाहर की ओर उगती है। जो ठहराव आप अभी उगा रही हैं, वही माँ बनकर साथ ले जाएँगी।
Even-hearted days	एक-से मन वाले दिन
Meeting good and hard moments with a steady heart is admired. Some days glow and some ache; both pass, and neither is the whole.	अच्छे और कठिन, दोनों पलों को एक-से मन से मिलना यहाँ सराहा जाता है। कुछ दिन चमकते हैं, कुछ में टीस रहती है; दोनों गुज़र जाते हैं, और कोई भी पूरी कहानी नहीं है।
Simplicity soothes	सादगी सुकून देती है
A simpler life is seen to quiet the mind. Trimming your days to what truly matters can be its own calm.	यहाँ माना जाता है कि सादा जीवन मन को चुप करा देता है। अपने दिनों को छाँटकर उतना ही रखना जो सचमुच मायने रखता है — यह अपने आप में एक शांति है।
Loosening control	पकड़ ढीली करना
Much suffering is said to come from gripping too tightly. Letting the uncontrollable parts of pregnancy simply be can ease the heart.	कहा जाता है कि बहुत सारा दुख बहुत कसकर पकड़ लेने से आता है। गर्भावस्था के जो हिस्से आपके हाथ में नहीं, उन्हें बस होने देना मन को हल्का कर देता है।
Contentment within reach	संतोष, हाथ भर की दूरी पर
Contentment, being at peace with what is, is a deep wealth. Small enough-for-now moments are worth pausing on.	संतोष — जो है उससे मन का राज़ी हो जाना — एक गहरी दौलत है। छोटे-छोटे “अभी के लिए इतना काफ़ी है” वाले पलों पर ठहरना बनता है।
Patience practised	धीरज, अभ्यास से
Patience is treated as something you grow with practice. Each calm pause through a long day strengthens it.	धीरज को यहाँ ऐसी चीज़ माना जाता है जो अभ्यास से बढ़ती है। लंबे दिन के बीच हर शांत ठहराव उसे और मज़बूत करता है।
Inner freedom	भीतर की आज़ादी
A quiet freedom comes from needing less and grasping less. That lightness is a gift you can give yourself now.	कम चाहने और कम पकड़ने से एक चुपचाप आज़ादी आती है। यह हल्कापन एक उपहार है जो आप अभी ख़ुद को दे सकती हैं।
Gentle discipline	कोमल अनुशासन
Self-care here is gentle, steady, never harsh. Kind, consistent habits serve you better than strict ones.	यहाँ अपनी देखभाल कोमल है, टिकी हुई है, कभी कठोर नहीं। नरम और लगातार चलने वाली आदतें सख़्त आदतों से कहीं ज़्यादा काम आती हैं।
Beginning again	फिर से शुरू करना
There is grace in beginning again after a hard day, without self-blame. Tomorrow is always a fresh page.	मुश्किल दिन के बाद बिना ख़ुद को दोष दिए फिर से शुरू कर देने में एक सुंदरता है। कल हमेशा एक कोरा पन्ना होता है।
Quiet over noise	शोर के बजाय चुप्पी
Calm is found by turning down the noise, outer and inner. Choosing a little quiet is choosing peace for two.	ठहराव शोर को धीमा करने से मिलता है — बाहर का भी, भीतर का भी। थोड़ी-सी चुप्पी चुनना दो जनों के लिए शांति चुनना है।
A settled heart	एक बैठा हुआ मन
A settled heart is treated as the ground of a good life. Tending yours is among the kindest things you can do for your baby.	एक बैठे हुए मन को अच्छे जीवन की ज़मीन माना जाता है। अपने मन का ध्यान रखना उन सबसे अच्छी चीज़ों में से है जो आप अपने शिशु के लिए कर सकती हैं।
Buddhism	बौद्ध धर्म
Mindfulness, loving-kindness and gentle calm.	सजगता, मैत्री और एक कोमल ठहराव।
Mindfulness & calm	सजगता और ठहराव
One breath at a time	एक साँस, एक बार में
Mindfulness, simply being present one breath at a time, is at the core of Buddhist practice. When pregnancy feels overwhelming, returning to this breath, right now, is always available to you.	सजगता — बस एक-एक साँस के साथ यहीं मौजूद रहना — बौद्ध साधना का केंद्र है। जब गर्भावस्था भारी लगने लगे, तो इसी साँस पर, अभी इसी पल में लौट आना हमेशा आपके पास है।
Noticing without judging	देखिए, तौलिए मत
A gentle skill here is noticing feelings as they come and go, without grabbing or fighting them. Emotions, like weather, pass, and you can watch them with kindness.	यहाँ एक कोमल हुनर है — भावनाओं को आते-जाते देखते रहना, न उन्हें पकड़ना, न उनसे लड़ना। मन के भाव मौसम की तरह गुज़र जाते हैं, और आप उन्हें नरमी से देख सकती हैं।
This moment is enough	यही पल काफ़ी है
Much of this teaching points to the peace of the present moment rather than the imagined future. A hand on your bump, a slow breath: this moment, just as it is, can be enough.	इस सीख का बड़ा हिस्सा कल्पना के भविष्य की नहीं, इसी पल की शांति की ओर इशारा करता है। पेट पर एक हाथ, एक धीमी साँस — यह पल, जैसा है वैसा ही, काफ़ी हो सकता है।
Calm is contagious	ठहराव फैलता है
A settled, mindful state ripples outward to those near you, including your baby. Tending your own calm is quietly tending theirs.	एक बैठा हुआ, सजग मन आसपास वालों तक लहर की तरह पहुँचता है — आपके शिशु तक भी। अपने ठहराव का ध्यान रखना चुपचाप उसके ठहराव का ध्यान रखना है।
Back to the breath	फिर साँस पर
Mindfulness, being present one breath at a time, is at the core of this practice. When pregnancy feels overwhelming, this breath, right now, is always available.	सजगता — एक-एक साँस के साथ यहीं मौजूद रहना — इस साधना का केंद्र है। जब गर्भावस्था भारी लगने लगे, तो यह साँस, अभी इसी पल की, हमेशा मौजूद है।
Noticing, not judging	देखना, तौलना नहीं
A gentle skill is noticing feelings as they come and go without grabbing or fighting them. Emotions, like weather, pass, and you can watch them kindly.	एक कोमल हुनर यह है — भावनाओं को आते-जाते देखना, न पकड़ना, न लड़ना। मन के भाव मौसम की तरह गुज़र जाते हैं, और आप उन्हें नरमी से देख सकती हैं।
Enough, right now	अभी, इतना काफ़ी
Much of this points to the peace of the present rather than the imagined future. A hand on your bump, a slow breath, this moment can be enough.	इसका बड़ा हिस्सा कल्पना के भविष्य की नहीं, इसी पल की शांति की ओर इशारा करता है। पेट पर एक हाथ, एक धीमी साँस — यह पल काफ़ी हो सकता है।
Calm spreads	ठहराव फैल जाता है
A settled, mindful state ripples to those near you, including your baby. Tending your calm is quietly tending theirs.	एक बैठा हुआ, सजग मन आसपास वालों तक पहुँचता है — आपके शिशु तक भी। अपने ठहराव का ध्यान रखना चुपचाप उसके ठहराव का ध्यान रखना है।
Everything changes	सब कुछ बदलता है
A core idea is that all things shift and pass, the hard moments too. Remembering this can soften a difficult day.	एक मूल बात यह है कि सब कुछ बदलता है और गुज़र जाता है — कठिन पल भी। यह याद रहे तो मुश्किल दिन नरम पड़ जाता है।
A fresh look	एक नई नज़र
Meeting things with a beginner's openness, as if new, brings wonder back. Each scan and flutter can be met with fresh eyes.	हर चीज़ को नौसिखिए के खुलेपन से, नया मानकर मिलना — अचरज लौटा लाता है। हर scan और हर हलचल को नई आँखों से देखा जा सकता है।
A gentle body scan	शरीर पर एक कोमल नज़र
Slowly noticing the body, part by part, with kindness, can release held tension. A few minutes of this is soothing for two.	अपने शरीर को धीरे-धीरे, एक-एक हिस्से से, नरमी के साथ महसूस करना जमा हुआ तनाव छोड़ देता है। इसके कुछ मिनट दो जनों को सुकून देते हैं।
Mindful steps	सजग क़दम
Even a slow, attentive walk can become a calming practice. Feeling each step roots you in the present.	एक धीमी, ध्यान से चली गई सैर भी शांति की साधना बन सकती है। हर क़दम को महसूस करना आपको इसी पल में जमा देता है।
Thoughts drifting by	बहते हुए विचार
Thoughts can be watched like leaves floating past on a stream. You need not chase each one; let them drift.	विचारों को ऐसे देखा जा सकता है जैसे धारा पर बहती पत्तियाँ। हर एक के पीछे भागने की ज़रूरत नहीं; उन्हें बहने दीजिए।
Kindness to this moment	इस पल के साथ नरमी
Meeting the present moment gently, whatever it holds, is the practice. Even a tiring moment can be met without resistance.	इस पल में जो भी हो, उससे कोमलता से मिलना ही साधना है। थका देने वाले पल से भी बिना अड़े मिला जा सकता है।
Gentle attention	कोमल ध्यान
Bringing soft, curious attention to ordinary things, tea, light, breath, can calm the mind. Small noticing is a doorway to peace.	मामूली चीज़ों पर नरम, जिज्ञासु ध्यान ले जाना — चाय, रोशनी, साँस — मन को शांत कर देता है। छोटी-छोटी बातों को देखना शांति का दरवाज़ा है।
Always returning	हमेशा लौट आना
The practice is not to never wander but to keep returning. Each gentle return is the whole of it.	साधना यह नहीं कि मन कभी भटके ही नहीं — साधना यह है कि हर बार लौट आइए। हर कोमल वापसी ही पूरी साधना है।
Present with your baby	अपने शिशु के साथ, इसी पल में
A few quiet, present minutes with a hand on your bump deepen the bond. Your baby shares in your settled attention.	पेट पर हाथ रखकर बिताए कुछ चुप, मौजूद मिनट रिश्ते को गहरा करते हैं। आपका ठहरा हुआ ध्यान आपके शिशु तक भी पहुँचता है।
Ease over effort	ज़ोर नहीं, सहजता
Calm is invited, not forced; striving for peace can undo it. Let ease come gently, on its own time.	ठहराव को बुलाया जाता है, ज़बरदस्ती नहीं लाया जाता; शांति के लिए ज़ोर लगाना उसी को बिगाड़ देता है। सहजता को अपने समय पर, धीरे से आने दीजिए।
A little spaciousness	थोड़ी-सी जगह
Pausing creates a small space between feeling and reacting. In that space, a calmer choice can appear.	एक ठहराव महसूस करने और प्रतिक्रिया देने के बीच थोड़ी-सी जगह बना देता है। उसी जगह में एक शांत चुनाव उभर आता है।
Rest in the breath	साँस में आराम
When the mind is busy, the breath is a quiet place to rest. A few slow breaths can settle a whole afternoon.	जब मन उलझा हो, तो साँस आराम करने की एक चुप जगह है। कुछ धीमी साँसें पूरी दोपहर को बैठा देती हैं।
Loving-kindness	मैत्री का भाव
Wishing yourself well	अपना भला चाहना
Loving-kindness practice often begins by wishing yourself well, may you be safe, may you be peaceful. It is a tender reminder that you, too, deserve the gentleness you are giving.	मैत्री की साधना अक्सर अपना ही भला चाहने से शुरू होती है — आप सुरक्षित रहें, आपका मन शांत रहे। यह कोमल याद दिलाती है कि जो नरमी आप दूसरों को दे रही हैं, उसकी हक़दार आप भी हैं।
Widening the circle	घेरा फैलाना
From yourself, the good wishes widen, to your baby, your family, and outward to all beings. A simple wish for happiness and safety is a sweet thing to whisper to your bump.	अपने से शुरू होकर ये शुभकामनाएँ फैलती जाती हैं — आपके शिशु तक, परिवार तक, और आगे हर जीव तक। ख़ुशी और सलामती की एक सीधी-सी दुआ अपने पेट के पास धीरे से कह देना कितना मीठा लगता है।
Kindness as practice	दया, एक साधना
Here, kindness is not a mood but a practice you return to daily. Each small, warm choice strengthens it, and your child will feel that warmth.	यहाँ दया कोई मूड नहीं, एक साधना है जिस पर आप रोज़ लौटती हैं। हर छोटा, गर्म चुनाव उसे मज़बूत करता है, और आपका बच्चा उस गर्माहट को महसूस करेगा।
Begin with yourself	शुरुआत अपने से
Loving-kindness often begins by wishing yourself well, may you be safe, may you be at peace. It is a tender reminder that you deserve the gentleness you give.	मैत्री अक्सर अपना ही भला चाहने से शुरू होती है — आप सुरक्षित रहें, आपका मन शांत रहे। यह कोमल याद दिलाती है कि जो नरमी आप देती हैं, उसकी हक़दार आप भी हैं।
The circle grows	घेरा बढ़ता जाता है
From yourself, good wishes widen to your baby, your family, and outward. A simple wish for happiness is sweet to whisper to your bump.	अपने से शुरू होकर शुभकामनाएँ आपके शिशु, आपके परिवार और उससे आगे तक फैलती जाती हैं। ख़ुशी की एक सीधी-सी दुआ पेट के पास धीरे से कहना बहुत मीठा लगता है।
Kindness, practised daily	दया, रोज़ का अभ्यास
Here kindness is not a passing mood but a practice you return to daily. Each warm choice strengthens it, and your child will feel that warmth.	यहाँ दया कोई गुज़र जाने वाला मूड नहीं, एक साधना है जिस पर आप रोज़ लौटती हैं। हर गर्म चुनाव उसे मज़बूत करता है, और आपका बच्चा उस गर्माहट को महसूस करेगा।
A wish for your baby	अपने शिशु के लिए एक दुआ
Sending a gentle wish toward your baby, may you be safe, may you be loved, is a lovely habit. Said with a hand on your bump, it begins a quiet bond.	अपने शिशु की ओर एक कोमल दुआ भेजना — तुम सुरक्षित रहो, तुम्हें ख़ूब प्यार मिले — कितनी सुंदर आदत है। पेट पर हाथ रखकर कही गई यह बात एक चुपचाप रिश्ता शुरू कर देती है।
Kindness on hard days	मुश्किल दिनों की दया
Loving-kindness is most needed on the days you feel least lovable. Offering yourself warmth then is the heart of the practice.	मैत्री की सबसे ज़्यादा ज़रूरत उन्हीं दिनों होती है जब आपको ख़ुद पर प्यार सबसे कम आता है। तब ख़ुद को गर्माहट देना ही इस साधना का दिल है।
Soft words to yourself	अपने आप से नरम बोल
Speaking to yourself as you would to a dear friend is a form of this kindness. Trade the harsh inner voice for a gentler one.	अपने आप से वैसे ही बात कीजिए जैसे किसी प्यारी सहेली से करतीं — यह भी इसी दया का रूप है। भीतर की कड़वी आवाज़ की जगह एक नरम आवाज़ रख दीजिए।
Forgiving yourself	ख़ुद को माफ़ करना
Releasing yourself from yesterday's mistakes is an act of kindness. You are allowed to begin again, gently.	कल की ग़लतियों से ख़ुद को छोड़ देना भी दया का ही काम है। आपको फिर से शुरू करने की इजाज़त है — धीरे से।
Warmth toward all	सबके लिए गर्माहट
The practice widens until it includes even strangers and difficult people. A general goodwill lightens your own heart most of all.	यह साधना फैलते-फैलते अनजानों और मुश्किल लोगों तक को अपने में ले लेती है। सबका भला चाहने से सबसे ज़्यादा हल्का आपका अपना मन होता है।
Kindness to the weary	थके हुओं पर नरमी
Extra gentleness for the tired, including yourself, fits this practice. On low days, soften what you ask of yourself.	थके हुए लोगों के लिए थोड़ी और नरमी — और उनमें आप भी हैं — इसी साधना का हिस्सा है। मन उदास हो तो अपने आप से कम माँगिए।
A peaceful wish	एक शांत दुआ
Wishing peace, for yourself and others, is simple and steadying. Even a silent may-all-be-at-ease calms the one who says it.	अपने लिए और सबके लिए शांति चाहना सीधा भी है और मन को थामने वाला भी। मन ही मन कहा गया “सब सुख से रहें” कहने वाले को ही सबसे पहले शांत कर देता है।
Kindness multiplies	दया बढ़ती जाती है
Warmth given tends to ripple outward and return. The gentleness you offer now grows beyond what you can see.	दी हुई गर्माहट लहर बनकर फैलती है और लौट आती है। जो नरमी आप आज दे रही हैं, वह आपकी नज़र से कहीं आगे तक बढ़ती है।
Small kind acts	छोटे-छोटे अच्छे काम
Loving-kindness lives in small acts as much as grand ones. A soft word or patient pause carries it.	मैत्री बड़े कामों जितनी ही छोटे कामों में रहती है। एक नरम बोल या एक धैर्य भरा ठहराव भी उसे साथ लिए चलता है।
A softening heart	नरम पड़ता मन
The practice gradually softens a guarded heart. As you open to your baby, that tenderness widens to everyone.	यह साधना धीरे-धीरे बंद पड़े मन को नरम कर देती है। जैसे-जैसे आप अपने शिशु के लिए खुलती हैं, वही कोमलता सबके लिए फैलती जाती है।
Kindness as calm	दया ही ठहराव है
A kind heart and a calm heart tend to be the same heart. Choosing kindness is also choosing peace for two.	दयालु मन और शांत मन अक्सर एक ही मन होते हैं। दया चुनना दो जनों के लिए शांति चुनना भी है।
May you be safe	आप सुरक्षित रहें
A simple repeated wish, may you be safe, may you be well, can settle a restless mind. Offer it first to yourself, then to your baby.	एक सीधी-सी दुआ, बार-बार दोहराई गई — आप सुरक्षित रहें, आप भली रहें — बेचैन मन को बैठा देती है। पहले इसे अपने लिए कहिए, फिर अपने शिशु के लिए।
Holding others gently	दूसरों को कोमलता से थामना
Picturing loved ones and silently wishing them well warms the heart. Your baby rides along in that circle of care.	अपने लोगों को मन में देखना और चुपचाप उनका भला चाहना दिल को गर्म कर देता है। देखभाल के उस घेरे में आपका शिशु भी साथ चलता है।
Beginning with warmth	गर्माहट से शुरुआत
Starting the day with one warm wish sets a gentle tone. A single kind thought, offered sincerely, is enough.	दिन की शुरुआत एक गर्म दुआ से कीजिए — पूरा दिन कोमल हो जाता है। सच्चे मन से सोचा गया एक अच्छा ख़याल ही काफ़ी है।
Stories, simply retold	कहानियाँ, सरल शब्दों में
The middle path	बीच का रास्ता
A well-known idea is the middle way, avoiding harsh extremes and choosing balance. In pregnancy that is wise and freeing: not too much pressure, not too little care, just gentle, steady balance.	एक जानी-पहचानी बात है मध्यम मार्ग — कठोर छोर छोड़कर संतुलन चुनना। गर्भावस्था में यह समझदारी भी है और राहत भी: न बहुत दबाव, न बहुत लापरवाही — बस कोमल, टिका हुआ संतुलन।
Comfort in shared humanity	साझे दुख में तसल्ली
A tender old story tells of a grieving mother who learns, gently, that loss has touched every household, and finds comfort in that shared humanity. Simply retold, it is a reminder that you are never as alone in your feelings as they seem.	एक कोमल पुरानी कहानी है — एक दुखी माँ, जिसे धीरे-धीरे यह समझ आता है कि किसी न किसी का जाना हर घर ने देखा है, और इसी साझे दुख में उसे तसल्ली मिलती है। सीधे शब्दों में, यह याद दिलाती है कि अपनी भावनाओं में आप उतनी अकेली कभी नहीं होतीं जितनी लगती हैं।
A lamp passed on	एक दीया, आगे बढ़ता हुआ
Stories often picture wisdom as a lamp passed from one person to the next, losing none of its light. The love and calm you carry now is a light you will pass to your child.	कहानियाँ अक्सर समझ को ऐसा दीया बताती हैं जो एक हाथ से दूसरे हाथ जाता है और उसकी रोशनी ज़रा भी कम नहीं होती। जो प्यार और ठहराव आज आपके पास है, वही रोशनी आप अपने बच्चे को सौंपेंगी।
The second arrow	दूसरा तीर
A teaching describes how pain is like one arrow, but worrying about it is a second arrow we fire at ourselves. In pregnancy, you can feel the real discomfort without adding the extra arrow of fear.	एक सीख कहती है कि दर्द एक तीर की तरह है, पर उसकी चिंता वह दूसरा तीर है जो हम ख़ुद अपने ऊपर चला लेते हैं। गर्भावस्था में असली तकलीफ़ को महसूस कीजिए, पर डर का दूसरा तीर उसमें मत जोड़िए।
Setting down the load	बोझ नीचे रख देना
