Pineapple	अनानास
Saunas, steam rooms and hot tubs can raise your core temperature too much, especially early on. A warm (not hot) bath or shower is the comfortable, safe alternative.	Sauna, steam room और गरम टब आपके शरीर का तापमान बहुत बढ़ा सकते हैं, ख़ासकर शुरुआती दौर में। गुनगुने (गरम नहीं) पानी से नहाना आरामदेह और सुरक्षित विकल्प है।
hot tub	हॉट टब
hot bath	गरम पानी से नहाना
Lifting Heavy Things	भारी सामान उठाना
Light lifting is fine; avoid straining and very heavy loads.	हल्का उठाना ठीक है; ज़ोर लगाने और बहुत भारी बोझ से बचिए।
Pregnancy hormones loosen your ligaments and your balance shifts, so heavy or awkward lifting risks your back more than the baby. Bend at the knees, hold things close, and ask for help with the heavy stuff.	गर्भावस्था के हार्मोन आपके जोड़ों के बंधन ढीले कर देते हैं और संतुलन बदल जाता है, इसलिए भारी या टेढ़ा उठाना शिशु से ज़्यादा आपकी कमर के लिए ख़तरा है। घुटनों से झुकिए, चीज़ें शरीर के पास रखिए, और भारी सामान के लिए मदद माँगिए।
Take extra care now - your centre of gravity is well forward and strain is easier.	अभी ज़्यादा ध्यान रखिए — आपके शरीर का संतुलन काफ़ी आगे की ओर है और ज़ोर पड़ना आसान है।
lifting weights	वज़न उठाना
heavy lifting	भारी सामान उठाना
Fasting	व्रत
Talk to your doctor before fasting - whether it is okay depends on your health and stage.	व्रत रखने से पहले अपने डॉक्टर से बात कीजिए — यह ठीक है या नहीं, यह आपकी सेहत और चरण पर निर्भर करता है।
Steady nutrition and hydration matter a lot in pregnancy. Some shorter or partial fasts may be okay for some mothers; long or strict fasts are often advised against. It is very individual.	गर्भावस्था में लगातार पोषण और पानी बहुत मायने रखते हैं। कुछ माँओं के लिए छोटे या आंशिक व्रत ठीक हो सकते हैं; लंबे या सख़्त व्रत से अक्सर मना किया जाता है। यह बहुत हद तक हर व्यक्ति पर निर्भर है।
For festival vrats, many mothers keep a fruit-and-milk (phalahar) fast rather than a nirjala one - but please confirm with your doctor first.	त्योहारों के व्रत में कई माँएँ निर्जला के बजाय फलाहार रखती हैं — पर कृपया पहले अपने डॉक्टर से पुष्टि कर लीजिए।
Apple	सेब
Orange / Citrus	संतरा / खट्टे फल
Grapes	अंगूर
Watermelon	तरबूज़
Muskmelon	ख़रबूज़ा
Guava	अमरूद
Pomegranate	अनार
Chikoo (Sapota)	चीकू
Custard Apple	शरीफ़ा
Litchi	लीची
Jackfruit	कटहल
Dates	खजूर
Figs	अंजीर
Berries	बेरी
Kiwi	कीवी
Pear	नाशपाती
Dry Fruits & Nuts	सूखे मेवे
Almonds	बादाम
Walnuts	अख़रोट
Cashews	काजू
Peanuts	मूँगफली
Makhana	मखाना
Sabudana	साबूदाना
Spinach & Greens	पालक और हरी सब्ज़ियाँ
Drumstick (Moringa)	सहजन (मोरिंगा)
Brinjal	बैंगन
Potato	आलू
Tomato	टमाटर
Carrot	गाजर
Beetroot	चुकंदर
Sprouts	अंकुरित अनाज
Raw Salad	कच्चा सलाद
Mushroom	मशरूम
Egg	अंडा
Chicken	चिकन
Mutton	मटन
Fish	मछली
Prawns	झींगा
High-Mercury Fish	ज़्यादा Mercury वाली मछली
Dal & Lentils	दाल
Soya	सोया
Rajma & Chana	राजमा और चना
Milk	दूध
Cheese	चीज़
Ghee & Butter	घी और मक्खन
Mithai (Mawa Sweets)	मिठाई (मावा वाली)
Oats	ओट्स
Poha	पोहा
Instant Noodles	इंस्टेंट नूडल्स
Fried Snacks	तले हुए स्नैक्स
Maida (Refined Flour)	मैदा
Pickle (Achar)	अचार
Saffron (Kesar)	केसर
Turmeric / Haldi Doodh	हल्दी / हल्दी वाला दूध
Jaggery (Gud)	गुड़
Spices & Herbs	मसाले और जड़ी-बूटियाँ
Salt	नमक
Sugar	चीनी
Sushi (Raw Fish)	सुशी (कच्ची मछली)
Raw / Undercooked Meat	कच्चा / अधपका माँस
Cold Cuts / Deli Meat	ठंडा कटा माँस / Deli meat
Leftover Food	बचा हुआ खाना
Spicy Food	तीखा खाना
Chyawanprash	च्यवनप्राश
Milkshake	मिल्कशेक
Fresh Juice	ताज़ा जूस
Packaged Juice	पैकेट वाला जूस
Lemon Water	नींबू पानी
Sugarcane Juice	गन्ने का रस
Lassi	लस्सी
Energy Drinks	एनर्जी ड्रिंक
Herbal Tea	हर्बल चाय
Smoothie	स्मूदी
Kombucha	कोम्बुचा
Diet Soda	डाइट सोडा
Aam Panna	आम पना
Badam Milk	बादाम वाला दूध
Decaf Coffee	Decaf कॉफ़ी
Jaljeera	जलजीरा
ORS / Electrolytes	ORS / Electrolytes
Aspirin	Aspirin
Antihistamines (Cetirizine)	Antihistamines (Cetirizine)
Antacids	Antacids
Acidity Tablets (Pantoprazole)	अम्लता की गोलियाँ (Pantoprazole)
Vitamin C	Vitamin C
Prenatal Multivitamin	Prenatal Multivitamin
Omega-3 (DHA)	Omega-3 (DHA)
Vitamin B12	Vitamin B12
Anti-Nausea (Ondansetron)	मतली की दवा (Ondansetron)
Morning-Sickness Tablet (Doxylamine)	सुबह की मतली की गोली (Doxylamine)
Cough Syrup	खाँसी का सिरप
Throat Lozenges	गले की गोलियाँ
Vicks / Balm	Vicks / बाम
Laxatives	क़ब्ज़ की दवा
Isabgol (Psyllium)	इसबगोल
Probiotics	Probiotics
Ashwagandha	अश्वगंधा
Ayurvedic / Herbal Medicine	आयुर्वेदिक / जड़ी-बूटी की दवा
Homeopathy	होम्योपैथी
Sleeping Pills	नींद की गोलियाँ
Diclofenac / Nimesulide	Diclofenac / Nimesulide
Antifungal / Antiseptic Cream	Antifungal / Antiseptic क्रीम
Deworming Tablet	पेट के कीड़ों की गोली
Thyroid Medicine	Thyroid की दवा
Blood Pressure Medicine	ब्लड प्रेशर की दवा
Insulin	Insulin
Vaccines (TT / Flu / COVID)	टीके (TT / Flu / COVID)
Driving	गाड़ी चलाना
Cycling	साइकिल चलाना
Running / Jogging	दौड़ना / जॉगिंग
Dancing	नाचना
Household Chores	घर के काम
Climbing Stairs	सीढ़ियाँ चढ़ना
Standing Long Hours	लंबे समय खड़े रहना
Amusement Rides	मेले के झूले
Trekking / Hiking	ट्रेकिंग / पहाड़ी चढ़ाई
Gym Workouts	जिम की कसरत
Keratin / Straightening	Keratin / बाल सीधे करना
Facial / Clean-up	फ़ेशियल / क्लीन-अप
Chemical Peel	केमिकल पील
Botox / Fillers	Botox / Fillers
Laser Hair Removal	लेज़र से बाल हटाना
Pedicure / Manicure	पेडीक्योर / मैनीक्योर
Makeup	मेकअप
Sunscreen	सनस्क्रीन
Retinol Creams	Retinol क्रीम
Perfume / Deodorant	परफ़्यूम / डियोड्रेंट
Hair Oiling (Champi)	बालों में तेल (चंपी)
Tattoo / Piercing	टैटू / पियर्सिंग
Gel / Acrylic Nails	जेल / एक्रिलिक नाख़ून
Smoking	धूम्रपान
Secondhand Smoke	दूसरों का धुआँ
Vaping	वेपिंग
Very Hot Bath	बहुत गरम पानी से नहाना
Air Conditioning	एयर कंडीशनिंग
Incense (Agarbatti)	अगरबत्ती
Strong Cleaning Chemicals	तेज़ सफ़ाई के रसायन
Paint Fumes	पेंट का धुआँ
Pesticides / Sprays	कीटनाशक / स्प्रे
Cats / Litter	बिल्ली / उसकी गंदगी
Dogs / Pets	कुत्ते / पालतू जानवर
Gardening	बाग़वानी
Public Transport	सार्वजनिक परिवहन
Crowded Places	भीड़ भरी जगहें
High Heels	ऊँची एड़ी
Tight Clothes	तंग कपड़े
Massage	मालिश
Spa / Sauna	स्पा / Sauna
Meditation	ध्यान
Mobile / Microwave	मोबाइल / माइक्रोवेव
Stress	तनाव
